date	plate	well	time	od	yfp
2016-03-14	1	B4	0.0	0.0591	529
2016-03-14	1	B4	39.0333	0.0543	809
2016-03-14	1	B4	50.8	0.0562	808
2016-03-14	1	B4	77.5167	0.0681	1064
2016-03-14	1	B4	99.0667	0.082	1362
2016-03-14	1	B4	116.8167	0.0938	1729
2016-03-14	1	B4	132.75	0.1056	2196
2016-03-14	1	B4	148.3833	0.1268	3062
2016-03-14	1	B4	166.85	0.1614	4112
2016-03-14	1	B4	185.5167	0.2107	5579
2016-03-14	1	B4	199.2333	0.2214	7091
2016-03-14	1	B4	214.65	0.2235	9296
2016-03-14	1	B4	237.9833	0.2245	10794
2016-03-14	1	B4	251.6167	0.2242	11190
2016-03-14	1	B4	276.45	0.2318	11729
2016-03-14	1	B4	292.6	0.2272	12347
2016-03-14	1	B4	319.25	0.2294	12422
2016-03-14	1	B4	353.7	0.235	13200
2016-03-14	1	B4	376.2167	0.2364	13800
2016-03-14	1	B4	392.6	0.2388	14072
2016-03-14	1	B4	421.0333	0.2405	14275
2016-03-14	1	B4	438.95	0.2423	15174
2016-03-14	1	B4	453.8667	0.2436	15408
2016-03-14	1	B4	483.7833	0.2445	15868
2016-03-14	1	B4	506.3333	0.2462	16562
2016-03-14	1	B4	523.15	0.2493	16783
2016-03-14	1	B4	543.6333	0.2496	17082
2016-03-14	1	B4	558.45	0.2508	17504
2016-03-14	1	B5	0.0	0.0615	1335
2016-03-14	1	B5	39.0333	0.0537	936
2016-03-14	1	B5	50.8	0.0561	946
2016-03-14	1	B5	77.5167	0.0648	1201
2016-03-14	1	B5	99.0667	0.0796	1472
2016-03-14	1	B5	116.8167	0.0912	1898
2016-03-14	1	B5	132.75	0.1044	2382
2016-03-14	1	B5	148.3833	0.1304	2810
2016-03-14	1	B5	166.85	0.152	3940
2016-03-14	1	B5	185.5167	0.2042	5184
2016-03-14	1	B5	199.2333	0.2231	6708
2016-03-14	1	B5	214.65	0.228	8969
2016-03-14	1	B5	237.9833	0.2371	10224
2016-03-14	1	B5	251.6167	0.2334	10551
2016-03-14	1	B5	276.45	0.2312	11339
2016-03-14	1	B5	292.6	0.2349	12029
2016-03-14	1	B5	319.25	0.2373	11997
2016-03-14	1	B5	353.7	0.2412	12614
2016-03-14	1	B5	376.2167	0.2438	13404
2016-03-14	1	B5	392.6	0.2462	13562
2016-03-14	1	B5	421.0333	0.2475	13743
2016-03-14	1	B5	438.95	0.2502	14869
2016-03-14	1	B5	453.8667	0.2505	14835
2016-03-14	1	B5	483.7833	0.2517	15306
2016-03-14	1	B5	506.3333	0.2542	15905
2016-03-14	1	B5	523.15	0.2562	16637
2016-03-14	1	B5	543.6333	0.2578	16534
2016-03-14	1	B5	558.45	0.2582	16920
2016-03-14	1	B6	0.0	0.056	1555
2016-03-14	1	B6	39.0333	0.0538	1063
2016-03-14	1	B6	50.8	0.057	1062
2016-03-14	1	B6	77.5167	0.0658	1329
2016-03-14	1	B6	99.0667	0.0809	1673
2016-03-14	1	B6	116.8167	0.0944	1938
2016-03-14	1	B6	132.75	0.1094	2498
2016-03-14	1	B6	148.3833	0.1244	3030
2016-03-14	1	B6	166.85	0.1535	4062
2016-03-14	1	B6	185.5167	0.201	5112
2016-03-14	1	B6	199.2333	0.223	6685
2016-03-14	1	B6	214.65	0.2262	8704
2016-03-14	1	B6	237.9833	0.227	9851
2016-03-14	1	B6	251.6167	0.2306	9817
2016-03-14	1	B6	276.45	0.2299	10746
2016-03-14	1	B6	292.6	0.2305	10827
2016-03-14	1	B6	319.25	0.2369	11053
2016-03-14	1	B6	353.7	0.2401	11365
2016-03-14	1	B6	376.2167	0.2432	11588
2016-03-14	1	B6	392.6	0.2481	11345
2016-03-14	1	B6	421.0333	0.2476	11930
2016-03-14	1	B6	438.95	0.2498	12724
2016-03-14	1	B6	453.8667	0.2552	12378
2016-03-14	1	B6	483.7833	0.2545	12933
2016-03-14	1	B6	506.3333	0.2558	13282
2016-03-14	1	B6	523.15	0.2568	13578
2016-03-14	1	B6	543.6333	0.2585	13390
2016-03-14	1	B6	558.45	0.2596	13885
2016-03-14	1	B7	0.0	0.0583	1477
2016-03-14	1	B7	39.0333	0.0535	1140
2016-03-14	1	B7	50.8	0.0569	1190
2016-03-14	1	B7	77.5167	0.069	1510
2016-03-14	1	B7	99.0667	0.082	1846
