date	plate	well	time	od	yfp
2016-02-04	1	B4	0.0	0.0638	1229
2016-02-04	1	B4	44.9167	0.0565	912
2016-02-04	1	B4	60.7833	0.0578	1019
2016-02-04	1	B4	83.0833	0.0607	1167
2016-02-04	1	B4	98.8833	0.0662	1312
2016-02-04	1	B4	113.2	0.0775	1607
2016-02-04	1	B4	130.5333	0.0858	1969
2016-02-04	1	B4	146.75	0.1033	2552
2016-02-04	1	B4	169.8833	0.1316	3567
2016-02-04	1	B4	187.4	0.1667	5191
2016-02-04	1	B4	202.25	0.2005	6417
2016-02-04	1	B4	219.1	0.2192	9203
2016-02-04	1	B4	235.7	0.2204	10901
2016-02-04	1	B4	251.7667	0.2261	11716
2016-02-04	1	B4	265.5833	0.2256	13097
2016-02-04	1	B4	280.85	0.2254	12934
2016-02-04	1	B4	299.7833	0.2271	13265
2016-02-04	1	B4	324.1667	0.2299	14235
2016-02-04	1	B4	352.0167	0.2339	14933
2016-02-04	1	B4	382.5667	0.2374	16217
2016-02-04	1	B4	405.45	0.2401	16168
2016-02-04	1	B4	433.3833	0.2427	17227
2016-02-04	1	B4	458.9333	0.2462	17874
2016-02-04	1	B4	498.4667	0.249	18897
2016-02-04	1	B4	539.6667	0.2514	19786
2016-02-04	1	B5	0.0	0.062	1273
2016-02-04	1	B5	44.9167	0.1084	1161
2016-02-04	1	B5	60.7833	0.0579	1134
2016-02-04	1	B5	83.0833	0.0688	1365
2016-02-04	1	B5	98.8833	0.0706	1513
2016-02-04	1	B5	113.2	0.0839	1850
2016-02-04	1	B5	130.5333	0.0895	2225
2016-02-04	1	B5	146.75	0.1038	2809
2016-02-04	1	B5	169.8833	0.1415	3984
2016-02-04	1	B5	187.4	0.1779	5432
2016-02-04	1	B5	202.25	0.2114	6871
2016-02-04	1	B5	219.1	0.2272	9206
2016-02-04	1	B5	235.7	0.2299	10398
2016-02-04	1	B5	251.7667	0.2317	10413
2016-02-04	1	B5	265.5833	0.2316	11405
2016-02-04	1	B5	280.85	0.2323	11216
2016-02-04	1	B5	299.7833	0.2346	11499
2016-02-04	1	B5	324.1667	0.2363	11553
2016-02-04	1	B5	352.0167	0.2416	11653
2016-02-04	1	B5	382.5667	0.246	12345
2016-02-04	1	B5	405.45	0.2485	12156
2016-02-04	1	B5	433.3833	0.2522	12298
2016-02-04	1	B5	458.9333	0.255	12282
2016-02-04	1	B5	498.4667	0.2588	12421
2016-02-04	1	B5	539.6667	0.2616	13378
2016-02-04	1	B6	0.0	0.0625	1536
2016-02-04	1	B6	44.9167	0.0586	890
2016-02-04	1	B6	60.7833	0.0571	967
2016-02-04	1	B6	83.0833	0.0628	1076
2016-02-04	1	B6	98.8833	0.071	1308
2016-02-04	1	B6	113.2	0.0799	1545
2016-02-04	1	B6	130.5333	0.0889	2008
2016-02-04	1	B6	146.75	0.103	2343
2016-02-04	1	B6	169.8833	0.1355	3570
2016-02-04	1	B6	187.4	0.1714	4875
2016-02-04	1	B6	202.25	0.2093	6409
2016-02-04	1	B6	219.1	0.2248	8538
2016-02-04	1	B6	235.7	0.2283	9384
2016-02-04	1	B6	251.7667	0.2311	10107
2016-02-04	1	B6	265.5833	0.233	10181
2016-02-04	1	B6	280.85	0.2338	10772
2016-02-04	1	B6	299.7833	0.2365	10384
2016-02-04	1	B6	324.1667	0.239	10386
2016-02-04	1	B6	352.0167	0.2441	11050
2016-02-04	1	B6	382.5667	0.2488	11082
2016-02-04	1	B6	405.45	0.2518	11089
2016-02-04	1	B6	433.3833	0.2547	11215
2016-02-04	1	B6	458.9333	0.258	11811
2016-02-04	1	B6	498.4667	0.2626	11788
2016-02-04	1	B6	539.6667	0.2658	11460
2016-02-04	1	B7	0.0	0.0566	580
2016-02-04	1	B7	44.9167	0.0652	910
2016-02-04	1	B7	60.7833	0.0574	940
2016-02-04	1	B7	83.0833	0.0629	1147
2016-02-04	1	B7	98.8833	0.0745	1272
2016-02-04	1	B7	113.2	0.0827	1590
2016-02-04	1	B7	130.5333	0.0911	1998
2016-02-04	1	B7	146.75	0.108	2751
2016-02-04	1	B7	169.8833	0.1438	3937
2016-02-04	1	B7	187.4	0.1813	5197
2016-02-04	1	B7	202.25	0.2147	6953
2016-02-04	1	B7	219.1	0.227	8974
2016-02-04	1	B7	235.7	0.232	10385
2016-02-04	1	B7	251.7667	0.2346	10548
2016-02-04	1	B7	265.5833	0.2356	10897
2016-02-04	1	B7	280.85	0.2377	11139
2016-02-04	1	B7	299.7833	0.239	11295
2016-02-04	1	B7	324.1667	0.2428	11504
2016-02-04	1	B7	352.0167	0.2489	11849
2016-02-04	1	B7	382.5667	0.2525	12240
2016-02-04	1	B7	405.45	0.256	12016
2016-02-04	1	B7	433.3833	0.2594	12211
2016-02-04	1	B7	458.9333	0.2627	13058
2016-02-04	1	B7	498.4667	0.2673	12950
2016-02-04	1	B7	539.6667	0.2699	13663
2016-02-04	1	B8	0.0	0.0619	1252
2016-02-04	1	B8	44.9167	0.0975	1051
2016-02-04	1	B8	60.7833	0.0663	1218
2016-02-04	1	B8	83.0833	0.0643	1495
2016-02-04	1	B8	98.8833	0.0764	1557
2016-02-04	1	B8	113.2	0.0934	1926
2016-02-04	1	B8	130.5333	0.0978	2380
2016-02-04	1	B8	146.75	0.1101	2963
2016-02-04	1	B8	169.8833	0.1575	4059
