date	plate	well	time	od	yfp
2016-04-19	1	B4	0.0	0.0615	949
2016-04-19	1	B4	0.0	0.0615	949
2016-04-19	1	B4	35.7167	0.0681	1174
2016-04-19	1	B4	35.7167	0.0681	1174
2016-04-19	1	B4	53.45	0.0616	1254
2016-04-19	1	B4	53.45	0.0616	1254
2016-04-19	1	B4	91.5667	0.0812	1610
2016-04-19	1	B4	91.5667	0.0812	1610
2016-04-19	1	B4	113.5167	0.0956	2099
2016-04-19	1	B4	113.5167	0.0956	2099
2016-04-19	1	B4	127.4833	0.1151	2384
2016-04-19	1	B4	127.4833	0.1151	2384
2016-04-19	1	B4	143.25	0.1199	2989
2016-04-19	1	B4	143.25	0.1199	2989
2016-04-19	1	B4	157.0667	0.1449	3869
2016-04-19	1	B4	157.0667	0.1449	3869
2016-04-19	1	B4	173.15	0.1775	5120
2016-04-19	1	B4	173.15	0.1775	5120
2016-04-19	1	B4	199.7667	0.26	7868
2016-04-19	1	B4	199.7667	0.26	7868
2016-04-19	1	B4	218.0333	0.2419	10184
2016-04-19	1	B4	218.0333	0.2419	10184
2016-04-19	1	B4	237.05	0.2516	11968
2016-04-19	1	B4	237.05	0.2516	11968
2016-04-19	1	B4	253.1833	0.2523	12583
2016-04-19	1	B4	253.1833	0.2523	12583
2016-04-19	1	B4	267.2667	0.2305	12798
2016-04-19	1	B4	267.2667	0.2305	12798
2016-04-19	1	B4	293.2833	0.2442	14105
2016-04-19	1	B4	293.2833	0.2442	14105
2016-04-19	1	B4	310.6667	0.2665	14877
2016-04-19	1	B4	310.6667	0.2665	14877
2016-04-19	1	B4	328.5	0.2785	15412
2016-04-19	1	B4	328.5	0.2785	15412
2016-04-19	1	B4	344.9	0.24	15994
2016-04-19	1	B4	344.9	0.24	15994
2016-04-19	1	B4	375.4167	0.2528	16473
2016-04-19	1	B4	375.4167	0.2528	16473
2016-04-19	1	B4	411.65	0.2784	17066
2016-04-19	1	B4	411.65	0.2784	17066
2016-04-19	1	B4	451.2333	0.2529	18658
2016-04-19	1	B4	451.2333	0.2529	18658
2016-04-19	1	B4	479.7667	0.2541	19000
2016-04-19	1	B4	479.7667	0.2541	19000
2016-04-19	1	B4	499.1	0.2561	18901
2016-04-19	1	B4	499.1	0.2561	18901
2016-04-19	1	B4	523.0333	0.2637	20298
2016-04-19	1	B4	523.0333	0.2637	20298
2016-04-19	1	B4	537.4833	0.2608	20060
2016-04-19	1	B4	537.4833	0.2608	20060
2016-04-19	1	B5	0.0	0.0697	2440
2016-04-19	1	B5	0.0	0.0697	2440
2016-04-19	1	B5	35.7167	0.0867	1016
2016-04-19	1	B5	35.7167	0.0867	1016
2016-04-19	1	B5	53.45	0.0647	1120
2016-04-19	1	B5	53.45	0.0647	1120
2016-04-19	1	B5	91.5667	0.0997	1508
2016-04-19	1	B5	91.5667	0.0997	1508
2016-04-19	1	B5	113.5167	0.1191	1906
2016-04-19	1	B5	113.5167	0.1191	1906
2016-04-19	1	B5	127.4833	0.133	2267
2016-04-19	1	B5	127.4833	0.133	2267
2016-04-19	1	B5	143.25	0.1217	2735
2016-04-19	1	B5	143.25	0.1217	2735
2016-04-19	1	B5	157.0667	0.159	3566
2016-04-19	1	B5	157.0667	0.159	3566
2016-04-19	1	B5	173.15	0.1742	4820
2016-04-19	1	B5	173.15	0.1742	4820
2016-04-19	1	B5	199.7667	0.2326	7389
2016-04-19	1	B5	199.7667	0.2326	7389
2016-04-19	1	B5	218.0333	0.234	9337
2016-04-19	1	B5	218.0333	0.234	9337
2016-04-19	1	B5	237.05	0.2472	10283
2016-04-19	1	B5	237.05	0.2472	10283
2016-04-19	1	B5	253.1833	0.2373	10868
2016-04-19	1	B5	253.1833	0.2373	10868
2016-04-19	1	B5	267.2667	0.236	10659
2016-04-19	1	B5	267.2667	0.236	10659
2016-04-19	1	B5	293.2833	0.2385	11415
2016-04-19	1	B5	293.2833	0.2385	11415
2016-04-19	1	B5	310.6667	0.244	11311
2016-04-19	1	B5	310.6667	0.244	11311
2016-04-19	1	B5	328.5	0.26	11403
2016-04-19	1	B5	328.5	0.26	11403
2016-04-19	1	B5	344.9	0.249	11496
2016-04-19	1	B5	344.9	0.249	11496
2016-04-19	1	B5	375.4167	0.252	11837
