date	plate	well	time	od	yfp
2016-07-07	1	B4	0	0.275	5547
2016-07-07	1	B5	0	0.315	6102
2016-07-07	1	B6	0	0.239	4552
2016-07-07	1	B7	0	0.292	5427
2016-07-07	1	B8	0	0.22	4044
2016-07-07	1	C4	0	0.255	5354
2016-07-07	1	C5	0	0.273	5256
2016-07-07	1	C6	0	0.212	4075
2016-07-07	1	C7	0	0.275	5221
2016-07-07	1	C8	0	0.191	3658
2016-07-07	1	D4	0	0.235	4702
2016-07-07	1	D5	0	0.257	5106
2016-07-07	1	D6	0	0.202	3915
2016-07-07	1	D7	0	0.254	4644
2016-07-07	1	D8	0	0.175	3350
2016-07-07	1	D9	0	0.311	59
2016-07-07	1	E4	0	0.096	57
2016-07-07	1	E5	0	0.105	325
2016-07-07	1	E6	0	0.09	107
2016-07-07	1	E7	0	0.1	182
2016-07-07	1	E8	0	0.083	85
2016-07-07	1	E9	0	0.103	79
2016-07-07	1	F4	0	0.097	59
2016-07-07	1	F5	0	0.1	712
2016-07-07	1	F6	0	0.084	105
2016-07-07	1	F7	0	0.1	227
2016-07-07	1	F8	0	0.079	88
2016-07-07	1	G4	0	0.094	60
2016-07-07	1	G5	0	0.101	534
2016-07-07	1	G6	0	0.085	136
2016-07-07	1	G7	0	0.102	185
2016-07-07	1	G8	0	0.079	97
