date	plate	well	time	od	yfp
2016-01-27	1	B4	0.0	0.0504	765
2016-01-27	1	B4	49.1667	0.0946	1325
2016-01-27	1	B4	67.3	0.0564	1337
2016-01-27	1	B4	80.2333	0.0764	1454
2016-01-27	1	B4	97.9333	0.0909	1694
2016-01-27	1	B4	114.5667	0.0907	2140
2016-01-27	1	B4	129.7167	0.1064	2538
2016-01-27	1	B4	146.95	0.1138	3144
2016-01-27	1	B4	163.0667	0.141	4200
2016-01-27	1	B4	185.1667	0.2011	6049
2016-01-27	1	B4	198.6	0.2197	7454
2016-01-27	1	B4	218.3333	0.2268	10409
2016-01-27	1	B4	231.9	0.2277	12209
2016-01-27	1	B4	249.0667	0.2311	13271
2016-01-27	1	B4	260.8833	0.2321	13182
2016-01-27	1	B4	274.5167	0.2317	14084
2016-01-27	1	B4	308.75	0.2366	15102
2016-01-27	1	B4	326.75	0.2389	15483
2016-01-27	1	B4	343.9833	0.2412	15654
2016-01-27	1	B4	359.25	0.2402	16500
2016-01-27	1	B4	387.1333	0.2432	16243
2016-01-27	1	B4	421.1333	0.2459	17644
2016-01-27	1	B4	441.9667	0.248	17866
2016-01-27	1	B4	461.9	0.2503	18599
2016-01-27	1	B4	480.85	0.2517	19204
2016-01-27	1	B4	499.1167	0.2526	19082
2016-01-27	1	B4	520.95	0.2539	19883
2016-01-27	1	B5	0.0	0.0463	612
2016-01-27	1	B5	49.1667	0.0736	1150
2016-01-27	1	B5	67.3	0.0573	1203
2016-01-27	1	B5	80.2333	0.0594	1346
2016-01-27	1	B5	97.9333	0.0741	1487
2016-01-27	1	B5	114.5667	0.0796	1762
2016-01-27	1	B5	129.7167	0.0901	2250
2016-01-27	1	B5	146.95	0.1095	2876
2016-01-27	1	B5	163.0667	0.1313	3769
2016-01-27	1	B5	185.1667	0.1811	5517
2016-01-27	1	B5	198.6	0.2149	7036
2016-01-27	1	B5	218.3333	0.2325	9699
2016-01-27	1	B5	231.9	0.2369	10962
2016-01-27	1	B5	249.0667	0.2379	11942
2016-01-27	1	B5	260.8833	0.2378	12286
2016-01-27	1	B5	274.5167	0.2399	12887
2016-01-27	1	B5	308.75	0.2445	13518
2016-01-27	1	B5	326.75	0.2468	13467
2016-01-27	1	B5	343.9833	0.2476	13940
2016-01-27	1	B5	359.25	0.2494	14131
2016-01-27	1	B5	387.1333	0.2516	14231
2016-01-27	1	B5	421.1333	0.2549	14950
2016-01-27	1	B5	441.9667	0.2576	14991
2016-01-27	1	B5	461.9	0.2595	15758
2016-01-27	1	B5	480.85	0.2612	15818
2016-01-27	1	B5	499.1167	0.2623	16197
2016-01-27	1	B5	520.95	0.2638	16581
2016-01-27	1	B6	0.0	0.05	570
2016-01-27	1	B6	49.1667	0.0681	1183
2016-01-27	1	B6	67.3	0.0616	1252
2016-01-27	1	B6	80.2333	0.0671	1303
