date	plate	well	time	od	yfp
2017-02-01	1	B10	0.0	0.0574	1726
2017-02-01	1	B10	67.1333	0.0579	1186
2017-02-01	1	B10	114.3333	0.0831	2098
2017-02-01	1	B10	137.2167	0.0997	2753
2017-02-01	1	B10	150.6833	0.1171	3500
2017-02-01	1	B10	151.3833	0.1184	3322
2017-02-01	1	B10	171.7333	0.1553	4577
2017-02-01	1	B10	187.3167	0.1969	5814
2017-02-01	1	B10	204.7667	0.2541	7606
2017-02-01	1	B10	217.75	0.2706	8867
2017-02-01	1	B10	224.8667	0.2734	9820
2017-02-01	1	B10	240.5333	0.2729	10826
2017-02-01	1	B10	264.8	0.2717	11230
2017-02-01	1	B10	292.5	0.2782	11594
2017-02-01	1	B10	315.9	0.2846	12079
2017-02-01	1	B10	342.8833	0.2924	12235
2017-02-01	1	B10	365.8	0.2963	11879
2017-02-01	1	B10	400.65	0.3052	12772
2017-02-01	1	B10	428.1667	0.313	12979
2017-02-01	1	B10	460.6333	0.3197	13041
2017-02-01	1	B10	480.55	0.3241	12960
2017-02-01	1	B3	0.0	0.0549	1058
2017-02-01	1	B3	67.1333	0.0565	1240
2017-02-01	1	B3	114.3333	0.0764	2172
2017-02-01	1	B3	137.2167	0.0957	2859
2017-02-01	1	B3	150.6833	0.1116	3599
2017-02-01	1	B3	151.3833	0.1131	3656
2017-02-01	1	B3	171.7333	0.1456	4662
2017-02-01	1	B3	187.3167	0.1827	5893
2017-02-01	1	B3	204.7667	0.2303	7949
2017-02-01	1	B3	217.75	0.2444	9667
2017-02-01	1	B3	224.8667	0.2472	11316
2017-02-01	1	B3	240.5333	0.2495	13249
2017-02-01	1	B3	264.8	0.2527	15129
2017-02-01	1	B3	292.5	0.2574	16294
2017-02-01	1	B3	315.9	0.2617	18420
2017-02-01	1	B3	342.8833	0.2727	19835
2017-02-01	1	B3	365.8	0.2691	20417
2017-02-01	1	B3	400.65	0.2776	21886
2017-02-01	1	B3	428.1667	0.2828	22933
2017-02-01	1	B3	460.6333	0.289	24040
2017-02-01	1	B3	480.55	0.2923	25604
2017-02-01	1	B4	0.0	0.0584	1025
2017-02-01	1	B4	67.1333	0.0578	1181
2017-02-01	1	B4	114.3333	0.0779	2029
2017-02-01	1	B4	137.2167	0.0975	2852
2017-02-01	1	B4	150.6833	0.115	3609
2017-02-01	1	B4	151.3833	0.1162	3619
2017-02-01	1	B4	171.7333	0.1498	4829
2017-02-01	1	B4	187.3167	0.189	5976
2017-02-01	1	B4	204.7667	0.2388	7724
2017-02-01	1	B4	217.75	0.2521	8509
2017-02-01	1	B4	224.8667	0.2535	8825
2017-02-01	1	B4	240.5333	0.2549	8917
2017-02-01	1	B4	264.8	0.2585	9306
2017-02-01	1	B4	292.5	0.2637	9311
2017-02-01	1	B4	315.9	0.2692	9388
2017-02-01	1	B4	342.8833	0.2748	9289
2017-02-01	1	B4	365.8	0.2773	9624
2017-02-01	1	B4	400.65	0.2856	9552
2017-02-01	1	B4	428.1667	0.2921	9667
2017-02-01	1	B4	460.6333	0.299	9589
2017-02-01	1	B4	480.55	0.3023	9349
2017-02-01	1	B5	0.0	0.0656	1168
2017-02-01	1	B5	67.1333	0.0579	1317
2017-02-01	1	B5	114.3333	0.0786	2175
2017-02-01	1	B5	137.2167	0.0993	3062
2017-02-01	1	B5	150.6833	0.1167	3616
2017-02-01	1	B5	151.3833	0.1175	3665
2017-02-01	1	B5	171.7333	0.1528	4655
2017-02-01	1	B5	187.3167	0.1936	5946
2017-02-01	1	B5	204.7667	0.2421	8027
2017-02-01	1	B5	217.75	0.2546	9483
2017-02-01	1	B5	224.8667	0.2576	10967
2017-02-01	1	B5	240.5333	0.2572	11583
2017-02-01	1	B5	264.8	0.2612	12169
2017-02-01	1	B5	292.5	0.2665	12898
2017-02-01	1	B5	315.9	0.272	13568
2017-02-01	1	B5	342.8833	0.2796	13689
2017-02-01	1	B5	365.8	0.2812	13216
2017-02-01	1	B5	400.65	0.2896	13911
2017-02-01	1	B5	428.1667	0.2968	14600
2017-02-01	1	B5	460.6333	0.3037	15242
2017-02-01	1	B5	480.55	0.3084	15349
2017-02-01	1	B6	0.0	0.0618	1191
2017-02-01	1	B6	67.1333	0.0585	1247
2017-02-01	1	B6	114.3333	0.0801	2233
2017-02-01	1	B6	137.2167	0.1003	3061
2017-02-01	1	B6	150.6833	0.1173	3554
2017-02-01	1	B6	151.3833	0.1175	3445
2017-02-01	1	B6	171.7333	0.1534	4946
2017-02-01	1	B6	187.3167	0.1949	6307
2017-02-01	1	B6	204.7667	0.2433	7992
2017-02-01	1	B6	217.75	0.2554	9144
2017-02-01	1	B6	224.8667	0.2592	10153
2017-02-01	1	B6	240.5333	0.2594	11261
2017-02-01	1	B6	264.8	0.2632	11830
2017-02-01	1	B6	292.5	0.2685	12329
2017-02-01	1	B6	315.9	0.2745	12733
2017-02-01	1	B6	342.8833	0.2822	12991
2017-02-01	1	B6	365.8	0.2851	12784
2017-02-01	1	B6	400.65	0.2932	13518
2017-02-01	1	B6	428.1667	0.3002	13739
2017-02-01	1	B6	460.6333	0.3086	13887
2017-02-01	1	B6	480.55	0.3121	13942
2017-02-01	1	B7	0.0	0.0576	1428
