date	plate	well	time	od	yfp
2016-01-14	1	B10	0.0	0.067	1312
2016-01-14	1	B10	13.6167	0.0614	1322
2016-01-14	1	B10	65.8833	0.0993	2555
2016-01-14	1	B10	83.6667	0.1077	3021
2016-01-14	1	B10	96.95	0.1257	3318
2016-01-14	1	B10	114.0	0.1507	4359
2016-01-14	1	B10	135.8333	0.1987	6303
2016-01-14	1	B10	154.2333	0.2145	7699
2016-01-14	1	B10	166.7167	0.2157	8758
2016-01-14	1	B10	178.55	0.2169	9414
2016-01-14	1	B10	194.3667	0.2193	9701
2016-01-14	1	B10	208.3	0.2241	10088
2016-01-14	1	B10	222.6333	0.2258	10487
2016-01-14	1	B10	236.1667	0.2287	9968
2016-01-14	1	B10	249.2167	0.2298	10014
2016-01-14	1	B10	266.8833	0.2329	10139
2016-01-14	1	B10	284.1	0.2347	10109
2016-01-14	1	B10	308.55	0.2401	10114
2016-01-14	1	B10	328.0167	0.244	10141
2016-01-14	1	B10	374.85	0.2522	10150
2016-01-14	1	B10	393.1833	0.2534	10532
2016-01-14	1	B10	444.7167	0.2602	10763
2016-01-14	1	B10	497.95	0.2665	10911
2016-01-14	1	B10	541.9833	0.2676	10878
2016-01-14	1	B3	0.0	0.0673	1155
2016-01-14	1	B3	13.6167	0.0608	1147
2016-01-14	1	B3	65.8833	0.0933	2382
2016-01-14	1	B3	83.6667	0.1057	2695
2016-01-14	1	B3	96.95	0.1186	3225
2016-01-14	1	B3	114.0	0.1437	4100
2016-01-14	1	B3	135.8333	0.1871	5913
2016-01-14	1	B3	154.2333	0.202	7539
2016-01-14	1	B3	166.7167	0.2036	8564
2016-01-14	1	B3	178.55	0.2035	8780
2016-01-14	1	B3	194.3667	0.2048	9206
2016-01-14	1	B3	208.3	0.2071	9299
2016-01-14	1	B3	222.6333	0.2086	9783
2016-01-14	1	B3	236.1667	0.2101	9405
2016-01-14	1	B3	249.2167	0.2106	9676
2016-01-14	1	B3	266.8833	0.2115	9554
2016-01-14	1	B3	284.1	0.2135	9461
2016-01-14	1	B3	308.55	0.2168	9468
2016-01-14	1	B3	328.0167	0.22	9658
2016-01-14	1	B3	374.85	0.2233	9327
2016-01-14	1	B3	393.1833	0.2255	9797
2016-01-14	1	B3	444.7167	0.2315	9886
2016-01-14	1	B3	497.95	0.2363	10273
2016-01-14	1	B3	541.9833	0.2378	10085
2016-01-14	1	B4	0.0	0.0629	1291
2016-01-14	1	B4	13.6167	0.0606	1311
2016-01-14	1	B4	65.8833	0.0925	2279
2016-01-14	1	B4	83.6667	0.1078	2810
2016-01-14	1	B4	96.95	0.1192	3349
2016-01-14	1	B4	114.0	0.1457	4277
2016-01-14	1	B4	135.8333	0.1895	5991
2016-01-14	1	B4	154.2333	0.203	7446
2016-01-14	1	B4	166.7167	0.2049	8365
2016-01-14	1	B4	178.55	0.2042	8761
2016-01-14	1	B4	194.3667	0.2057	8892
2016-01-14	1	B4	208.3	0.2095	9084
2016-01-14	1	B4	222.6333	0.2112	9388
2016-01-14	1	B4	236.1667	0.2128	8957
2016-01-14	1	B4	249.2167	0.2127	9430
2016-01-14	1	B4	266.8833	0.2144	9567
2016-01-14	1	B4	284.1	0.2173	9221
2016-01-14	1	B4	308.55	0.2208	9384
2016-01-14	1	B4	328.0167	0.2237	9472
2016-01-14	1	B4	374.85	0.2283	9731
2016-01-14	1	B4	393.1833	0.2295	9812
2016-01-14	1	B4	444.7167	0.2359	10188
2016-01-14	1	B4	497.95	0.2419	10146
2016-01-14	1	B4	541.9833	0.2435	10525
2016-01-14	1	B5	0.0	0.0689	1430
2016-01-14	1	B5	13.6167	0.0614	1492
2016-01-14	1	B5	65.8833	0.095	2571
2016-01-14	1	B5	83.6667	0.1057	2990
2016-01-14	1	B5	96.95	0.117	3531
2016-01-14	1	B5	114.0	0.1423	4350
2016-01-14	1	B5	135.8333	0.1873	6475
2016-01-14	1	B5	154.2333	0.205	8162
2016-01-14	1	B5	166.7167	0.208	9346
2016-01-14	1	B5	178.55	0.2059	9885
2016-01-14	1	B5	194.3667	0.2086	10266
2016-01-14	1	B5	208.3	0.2127	10465
2016-01-14	1	B5	222.6333	0.2141	10885
2016-01-14	1	B5	236.1667	0.216	10638
2016-01-14	1	B5	249.2167	0.2167	11133
2016-01-14	1	B5	266.8833	0.2185	10754
2016-01-14	1	B5	284.1	0.2212	10558
2016-01-14	1	B5	308.55	0.2254	10453
2016-01-14	1	B5	328.0167	0.2286	11034
2016-01-14	1	B5	374.85	0.2336	10591
2016-01-14	1	B5	393.1833	0.2344	10842
2016-01-14	1	B5	444.7167	0.2408	11298
2016-01-14	1	B5	497.95	0.2472	11557
2016-01-14	1	B5	541.9833	0.2486	11607
2016-01-14	1	B6	0.0	0.0682	1335
2016-01-14	1	B6	13.6167	0.0603	1153
2016-01-14	1	B6	65.8833	0.096	2327
2016-01-14	1	B6	83.6667	0.109	2875
2016-01-14	1	B6	96.95	0.1206	3258
2016-01-14	1	B6	114.0	0.146	4047
2016-01-14	1	B6	135.8333	0.1908	6068
2016-01-14	1	B6	154.2333	0.2073	7818
2016-01-14	1	B6	166.7167	0.2093	8686
2016-01-14	1	B6	178.55	0.2083	9190
2016-01-14	1	B6	194.3667	0.2122	9704
