wellposition	ct	samplename
1_A1	18.636	yfp0_rich_fraction09_leu1214primers
1_A2	18.5	yfp0_rich_fraction09_leu1214primers
1_A3	18.415	yfp0_rich_fraction09_leu1214primers
1_A7	16.316	cta1314_rich_fraction09_leu1214primers
1_A8	15.999	cta1314_rich_fraction09_leu1214primers
1_A9	16.31	cta1314_rich_fraction09_leu1214primers
1_B1	18.575	yfp0_rich_fraction08_leu1214primers
1_B2	18.332	yfp0_rich_fraction08_leu1214primers
1_B3	18.193	yfp0_rich_fraction08_leu1214primers
1_B4	26.793	yfp0_rich_fraction07_-RT_leu1214primers
1_B5	28.073	yfp0_rich_fraction07_-RT_leu1214primers
1_B6	27.777	yfp0_rich_fraction07_-RT_leu1214primers
1_B7	17.972	cta1314_rich_fraction08_leu1214primers
1_B8	17.715	cta1314_rich_fraction08_leu1214primers
1_B9	17.75	cta1314_rich_fraction08_leu1214primers
1_C1	19.126	yfp0_rich_fraction07_leu1214primers
1_C2	19.187	yfp0_rich_fraction07_leu1214primers
1_C3	18.63	yfp0_rich_fraction07_leu1214primers
1_C4	20.878	yfp0_rich_fraction15_leu1214primers
1_C5	21.065	yfp0_rich_fraction15_leu1214primers
1_C6	21.004	yfp0_rich_fraction15_leu1214primers
1_C7	17.574	cta1314_rich_fraction07_leu1214primers
1_C8	17.151	cta1314_rich_fraction07_leu1214primers
1_C9	17.095	cta1314_rich_fraction07_leu1214primers
1_C10	28.124	cta1314_rich_fraction07_-RT_leu1214primers
1_C11	28.619	cta1314_rich_fraction07_-RT_leu1214primers
1_C12	28.81	cta1314_rich_fraction07_-RT_leu1214primers
1_D1	18.675	yfp0_rich_fraction06_leu1214primers
1_D2	18.354	yfp0_rich_fraction06_leu1214primers
1_D3	18.146	yfp0_rich_fraction06_leu1214primers
1_D4	19.973	yfp0_rich_fraction14_leu1214primers
1_D5	19.851	yfp0_rich_fraction14_leu1214primers
1_D6	19.633	yfp0_rich_fraction14_leu1214primers
1_D7	18.014	cta1314_rich_fraction06_leu1214primers
1_D8	17.641	cta1314_rich_fraction06_leu1214primers
1_D9	17.812	cta1314_rich_fraction06_leu1214primers
1_D10	20.06	cta1314_rich_fraction14_leu1214primers
1_D11	19.959	cta1314_rich_fraction14_leu1214primers
1_D12	19.854	cta1314_rich_fraction14_leu1214primers
1_E1	21.262	yfp0_rich_fraction05_leu1214primers
1_E2	20.868	yfp0_rich_fraction05_leu1214primers
1_E3	20.615	yfp0_rich_fraction05_leu1214primers
1_E4	18.818	yfp0_rich_fraction13_leu1214primers
1_E5	18.712	yfp0_rich_fraction13_leu1214primers
1_E6	18.707	yfp0_rich_fraction13_leu1214primers
1_E7	19.198	cta1314_rich_fraction05_leu1214primers
1_E8	18.727	cta1314_rich_fraction05_leu1214primers
1_E9	18.577	cta1314_rich_fraction05_leu1214primers
1_E10	19.364	cta1314_rich_fraction13_leu1214primers
1_E11	19.204	cta1314_rich_fraction13_leu1214primers
1_E12	18.878	cta1314_rich_fraction13_leu1214primers
1_F1	21.706	yfp0_rich_fraction04_leu1214primers
1_F2	21.617	yfp0_rich_fraction04_leu1214primers
1_F3	21.091	yfp0_rich_fraction04_leu1214primers
1_F4	17.911	yfp0_rich_fraction12_leu1214primers
1_F5	17.768	yfp0_rich_fraction12_leu1214primers
1_F6	17.984	yfp0_rich_fraction12_leu1214primers
1_F7	20.244	cta1314_rich_fraction04_leu1214primers
1_F8	19.88	cta1314_rich_fraction04_leu1214primers
1_F9	19.676	cta1314_rich_fraction04_leu1214primers
1_F10	17.599	cta1314_rich_fraction12_leu1214primers
1_F11	17.423	cta1314_rich_fraction12_leu1214primers
1_F12	17.144	cta1314_rich_fraction12_leu1214primers
1_G1	20.872	yfp0_rich_fraction03_leu1214primers
1_G2	20.572	yfp0_rich_fraction03_leu1214primers
1_G3	20.442	yfp0_rich_fraction03_leu1214primers
1_G4	18.225	yfp0_rich_fraction11_leu1214primers
1_G5	18.018	yfp0_rich_fraction11_leu1214primers
1_G6	17.903	yfp0_rich_fraction11_leu1214primers
1_G7	19.352	cta1314_rich_fraction03_leu1214primers
1_G8	19.005	cta1314_rich_fraction03_leu1214primers
1_G9	19.137	cta1314_rich_fraction03_leu1214primers
1_G10	15.783	cta1314_rich_fraction11_leu1214primers
1_G11	15.788	cta1314_rich_fraction11_leu1214primers
1_G12	15.508	cta1314_rich_fraction11_leu1214primers
1_H1	23.272	yfp0_rich_fraction01+02_leu1214primers
1_H2	22.966	yfp0_rich_fraction01+02_leu1214primers
1_H3	22.712	yfp0_rich_fraction01+02_leu1214primers
1_H4	18.181	yfp0_rich_fraction10_leu1214primers
1_H5	18.233	yfp0_rich_fraction10_leu1214primers
1_H6	18.294	yfp0_rich_fraction10_leu1214primers
1_H7	20.213	cta1314_rich_fraction01+02_leu1214primers
1_H8	20.278	cta1314_rich_fraction01+02_leu1214primers
1_H9	20.065	cta1314_rich_fraction01+02_leu1214primers
1_H10	16.44	cta1314_rich_fraction10_leu1214primers
1_H11	16.289	cta1314_rich_fraction10_leu1214primers
1_H12	16.202	cta1314_rich_fraction10_leu1214primers
2_A1	16.392	yfp0_rich_fraction09_flucprimers
2_A2	16.525	yfp0_rich_fraction09_flucprimers
2_A3	16.691	yfp0_rich_fraction09_flucprimers
2_A7	15.578	cta1314_rich_fraction09_flucprimers
2_A8	15.844	cta1314_rich_fraction09_flucprimers
2_A9	15.732	cta1314_rich_fraction09_flucprimers
2_B1	16.56	yfp0_rich_fraction08_flucprimers
2_B2	16.34	yfp0_rich_fraction08_flucprimers
2_B3	16.03	yfp0_rich_fraction08_flucprimers
2_B4	33.115	yfp0_rich_fraction07_-RT_flucprimers
2_B5	30.994	yfp0_rich_fraction07_-RT_flucprimers
2_B6	31.721	yfp0_rich_fraction07_-RT_flucprimers
2_B7	16.924	cta1314_rich_fraction08_flucprimers
2_B8	16.655	cta1314_rich_fraction08_flucprimers
2_B9	16.315	cta1314_rich_fraction08_flucprimers
2_C1	16.114	yfp0_rich_fraction07_flucprimers
2_C2	15.808	yfp0_rich_fraction07_flucprimers
2_C3	15.855	yfp0_rich_fraction07_flucprimers
2_C4	17.259	yfp0_rich_fraction15_flucprimers
2_C5	15.261	yfp0_rich_fraction15_flucprimers
2_C6	17.04	yfp0_rich_fraction15_flucprimers
2_C7	15.674	cta1314_rich_fraction07_flucprimers
2_C8	15.436	cta1314_rich_fraction07_flucprimers
2_C9	15.827	cta1314_rich_fraction07_flucprimers
2_C10	29.311	cta1314_rich_fraction07_-RT_flucprimers
2_C11	29.16	cta1314_rich_fraction07_-RT_flucprimers
2_C12	Undetermined	cta1314_rich_fraction07_-RT_flucprimers
2_D1	15.894	yfp0_rich_fraction06_flucprimers
2_D2	15.602	yfp0_rich_fraction06_flucprimers
2_D3	15.253	yfp0_rich_fraction06_flucprimers
2_D4	16.985	yfp0_rich_fraction14_flucprimers
2_D5	16.939	yfp0_rich_fraction14_flucprimers
2_D6	16.837	yfp0_rich_fraction14_flucprimers
2_D7	16.301	cta1314_rich_fraction06_flucprimers
2_D8	15.716	cta1314_rich_fraction06_flucprimers
2_D9	15.446	cta1314_rich_fraction06_flucprimers
2_D10	16.721	cta1314_rich_fraction14_flucprimers
2_D11	16.783	cta1314_rich_fraction14_flucprimers
2_D12	16.658	cta1314_rich_fraction14_flucprimers
2_E1	15.994	yfp0_rich_fraction05_flucprimers
2_E2	15.381	yfp0_rich_fraction05_flucprimers
2_E3	14.958	yfp0_rich_fraction05_flucprimers
2_E4	16.871	yfp0_rich_fraction13_flucprimers
2_E5	16.549	yfp0_rich_fraction13_flucprimers
2_E6	16.569	yfp0_rich_fraction13_flucprimers
2_E7	16.447	cta1314_rich_fraction05_flucprimers
2_E8	16.341	cta1314_rich_fraction05_flucprimers
2_E9	15.4	cta1314_rich_fraction05_flucprimers
2_E10	16.746	cta1314_rich_fraction13_flucprimers
2_E11	16.712	cta1314_rich_fraction13_flucprimers
2_E12	16.527	cta1314_rich_fraction13_flucprimers
2_F1	16.745	yfp0_rich_fraction04_flucprimers
2_F2	16.503	yfp0_rich_fraction04_flucprimers
2_F3	16.094	yfp0_rich_fraction04_flucprimers
2_F4	16.558	yfp0_rich_fraction12_flucprimers
2_F5	16.4	yfp0_rich_fraction12_flucprimers
2_F6	16.203	yfp0_rich_fraction12_flucprimers
2_F7	16.216	cta1314_rich_fraction04_flucprimers
2_F8	16.327	cta1314_rich_fraction04_flucprimers
2_F9	16.1	cta1314_rich_fraction04_flucprimers
2_F10	16.759	cta1314_rich_fraction12_flucprimers
2_F11	16.463	cta1314_rich_fraction12_flucprimers
2_F12	16.486	cta1314_rich_fraction12_flucprimers
2_G1	16.254	yfp0_rich_fraction03_flucprimers
2_G2	16.205	yfp0_rich_fraction03_flucprimers
2_G3	15.82	yfp0_rich_fraction03_flucprimers
2_G4	17.236	yfp0_rich_fraction11_flucprimers
2_G5	17.36	yfp0_rich_fraction11_flucprimers
2_G6	17.27	yfp0_rich_fraction11_flucprimers
2_G7	15.925	cta1314_rich_fraction03_flucprimers
2_G8	15.933	cta1314_rich_fraction03_flucprimers
2_G9	15.97	cta1314_rich_fraction03_flucprimers
2_G10	15.675	cta1314_rich_fraction11_flucprimers
2_G11	15.362	cta1314_rich_fraction11_flucprimers
2_G12	15.492	cta1314_rich_fraction11_flucprimers
2_H1	18.871	yfp0_rich_fraction01+02_flucprimers
2_H2	18.872	yfp0_rich_fraction01+02_flucprimers
2_H3	18.572	yfp0_rich_fraction01+02_flucprimers
2_H4	16.688	yfp0_rich_fraction10_flucprimers
2_H5	16.703	yfp0_rich_fraction10_flucprimers
2_H6	17.044	yfp0_rich_fraction10_flucprimers
2_H7	17.122	cta1314_rich_fraction01+02_flucprimers
2_H8	16.711	cta1314_rich_fraction01+02_flucprimers
2_H9	16.746	cta1314_rich_fraction01+02_flucprimers
2_H10	16.477	cta1314_rich_fraction10_flucprimers
2_H11	16.357	cta1314_rich_fraction10_flucprimers
2_H12	16.385	cta1314_rich_fraction10_flucprimers
