wellposition	ct	samplename
2_C9	15.536	cta1314_starve_fraction07_flucprimers
2_C10	23.572	cta1314_starve_fraction15_flucprimers
2_C11	23.057	cta1314_starve_fraction15_flucprimers
2_C12	23.275	cta1314_starve_fraction15_flucprimers
2_D1	16.331	yfp0_starve_fraction06_flucprimers
2_D2	15.724	yfp0_starve_fraction06_flucprimers
2_D3	15.368	yfp0_starve_fraction06_flucprimers
2_D4	19.23	yfp0_starve_fraction14_flucprimers
2_D5	19.311	yfp0_starve_fraction14_flucprimers
2_D6	18.282	yfp0_starve_fraction14_flucprimers
2_D7	15.485	cta1314_starve_fraction06_flucprimers
2_D8	14.875	cta1314_starve_fraction06_flucprimers
2_D9	15.479	cta1314_starve_fraction06_flucprimers
2_D10	18.109	cta1314_starve_fraction14_flucprimers
2_D11	17.523	cta1314_starve_fraction14_flucprimers
2_D12	17.728	cta1314_starve_fraction14_flucprimers
2_E1	16.05	yfp0_starve_fraction05_flucprimers
2_E2	14.319	yfp0_starve_fraction05_flucprimers
2_E3	14.96	yfp0_starve_fraction05_flucprimers
2_E4	17.25	yfp0_starve_fraction13_flucprimers
2_E5	17.225	yfp0_starve_fraction13_flucprimers
2_E6	17.266	yfp0_starve_fraction13_flucprimers
2_E7	16.972	cta1314_starve_fraction05_flucprimers
2_E8	16.429	cta1314_starve_fraction05_flucprimers
2_E9	16.027	cta1314_starve_fraction05_flucprimers
2_E10	17.709	cta1314_starve_fraction13_flucprimers
2_E11	17.211	cta1314_starve_fraction13_flucprimers
2_E12	17.358	cta1314_starve_fraction13_flucprimers
2_F1	16.505	yfp0_starve_fraction04_flucprimers
2_F2	16.002	yfp0_starve_fraction04_flucprimers
2_F3	15.676	yfp0_starve_fraction04_flucprimers
2_F4	17.925	yfp0_starve_fraction12_flucprimers
2_F5	18.016	yfp0_starve_fraction12_flucprimers
2_F6	17.969	yfp0_starve_fraction12_flucprimers
2_F7	16.287	cta1314_starve_fraction04_flucprimers
2_F8	15.677	cta1314_starve_fraction04_flucprimers
2_F9	15.36	cta1314_starve_fraction04_flucprimers
2_F10	17.138	cta1314_starve_fraction12_flucprimers
2_F11	17.077	cta1314_starve_fraction12_flucprimers
2_F12	17.117	cta1314_starve_fraction12_flucprimers
2_G1	16.334	yfp0_starve_fraction03_flucprimers
2_G2	16.15	yfp0_starve_fraction03_flucprimers
2_G3	15.921	yfp0_starve_fraction03_flucprimers
2_G4	17.26	yfp0_starve_fraction11_flucprimers
2_G5	16.898	yfp0_starve_fraction11_flucprimers
2_G6	16.976	yfp0_starve_fraction11_flucprimers
2_G7	17.169	cta1314_starve_fraction03_flucprimers
2_G8	17.133	cta1314_starve_fraction03_flucprimers
2_G9	16.917	cta1314_starve_fraction03_flucprimers
2_G10	17.543	cta1314_starve_fraction11_flucprimers
2_G11	16.927	cta1314_starve_fraction11_flucprimers
2_G12	17.008	cta1314_starve_fraction11_flucprimers
2_H1	18.263	yfp0_starve_fraction01_flucprimers
2_H2	17.95	yfp0_starve_fraction01_flucprimers
2_H3	17.841	yfp0_starve_fraction01_flucprimers
2_H4	16.702	yfp0_starve_fraction10_flucprimers
2_H5	16.658	yfp0_starve_fraction10_flucprimers
2_H6	16.384	yfp0_starve_fraction10_flucprimers
2_H7	20.118	cta1314_starve_fraction01+02_flucprimers
2_H8	19.327	cta1314_starve_fraction01+02_flucprimers
2_H9	19.943	cta1314_starve_fraction01+02_flucprimers
2_H10	17.458	cta1314_starve_fraction10_flucprimers
2_H11	17.276	cta1314_starve_fraction10_flucprimers
2_H12	17.401	cta1314_starve_fraction10_flucprimers
