wellposition	ct	samplename
1_A1	19.456	yfp0_starve_fraction09_leu1214primers
1_A2	19.255	yfp0_starve_fraction09_leu1214primers
1_A3	19.26	yfp0_starve_fraction09_leu1214primers
1_A7	20.395	cta1314_starve_fraction09_leu1214primers
1_A8	20.088	cta1314_starve_fraction09_leu1214primers
1_A9	20.126	cta1314_starve_fraction09_leu1214primers
1_B1	19.713	yfp0_starve_fraction08_leu1214primers
1_B2	19.627	yfp0_starve_fraction08_leu1214primers
1_B3	19.587	yfp0_starve_fraction08_leu1214primers
1_B4	29.177	yfp0_starve_fraction07_-RT_leu1214prime
1_B5	28.946	yfp0_starve_fraction07_-RT_leu1214prime
1_B6	28.983	yfp0_starve_fraction07_-RT_leu1214prime
1_B7	20.694	cta1314_starve_fraction08_leu1214primers
1_B8	20.334	cta1314_starve_fraction08_leu1214primers
1_B9	20.373	cta1314_starve_fraction08_leu1214primers
1_B10	27.282	cta1314_starve_fraction07_-RT_leu1214pr
1_B11	26.864	cta1314_starve_fraction07_-RT_leu1214pr
1_B12	27.302	cta1314_starve_fraction07_-RT_leu1214pr
1_C1	19.341	yfp0_starve_fraction07_leu1214primers
1_C2	19.242	yfp0_starve_fraction07_leu1214primers
1_C3	18.992	yfp0_starve_fraction07_leu1214primers
1_C4	27.395	yfp0_starve_fraction15_leu1214primers
1_C5	26.925	yfp0_starve_fraction15_leu1214primers
1_C6	26.949	yfp0_starve_fraction15_leu1214primers
1_C7	20.092	cta1314_starve_fraction07_leu1214primers
1_C8	19.597	cta1314_starve_fraction07_leu1214primers
1_C9	19.297	cta1314_starve_fraction07_leu1214primers
1_C10	29.212	cta1314_starve_fraction15_leu1214primers
1_C11	28.84	cta1314_starve_fraction15_leu1214primers
1_C12	29.351	cta1314_starve_fraction15_leu1214primers
1_D1	20.74	yfp0_starve_fraction06_leu1214primers
1_D2	20.547	yfp0_starve_fraction06_leu1214primers
1_D3	20.342	yfp0_starve_fraction06_leu1214primers
1_D4	24.148	yfp0_starve_fraction14_leu1214primers
1_D5	24.083	yfp0_starve_fraction14_leu1214primers
1_D6	24.112	yfp0_starve_fraction14_leu1214primers
1_D7	20.33	cta1314_starve_fraction06_leu1214primers
1_D8	20.124	cta1314_starve_fraction06_leu1214primers
1_D9	20.09	cta1314_starve_fraction06_leu1214primers
1_D10	22.424	cta1314_starve_fraction14_leu1214primers
1_D11	22.536	cta1314_starve_fraction14_leu1214primers
1_D12	22.271	cta1314_starve_fraction14_leu1214primers
1_E1	21.281	yfp0_starve_fraction05_leu1214primers
1_E2	21.303	yfp0_starve_fraction05_leu1214primers
1_E3	20.688	yfp0_starve_fraction05_leu1214primers
1_E4	20.356	yfp0_starve_fraction13_leu1214primers
1_E5	20.748	yfp0_starve_fraction13_leu1214primers
1_E6	20.536	yfp0_starve_fraction13_leu1214primers
1_E7	22.024	cta1314_starve_fraction05_leu1214primers
1_E8	21.567	cta1314_starve_fraction05_leu1214primers
1_E9	21.217	cta1314_starve_fraction05_leu1214primers
1_E10	21.014	cta1314_starve_fraction13_leu1214primers
1_E11	20.75	cta1314_starve_fraction13_leu1214primers
1_E12	20.983	cta1314_starve_fraction13_leu1214primers
1_F1	21.137	yfp0_starve_fraction04_leu1214primers
1_F2	21.018	yfp0_starve_fraction04_leu1214primers
1_F3	20.68	yfp0_starve_fraction04_leu1214primers
1_F4	20.969	yfp0_starve_fraction12_leu1214primers
1_F5	20.872	yfp0_starve_fraction12_leu1214primers
1_F6	20.774	yfp0_starve_fraction12_leu1214primers
1_F7	20.742	cta1314_starve_fraction04_leu1214primers
1_F8	20.731	cta1314_starve_fraction04_leu1214primers
1_F9	20.683	cta1314_starve_fraction04_leu1214primers
1_F10	20.968	cta1314_starve_fraction12_leu1214primers
1_F11	20.792	cta1314_starve_fraction12_leu1214primers
1_F12	20.955	cta1314_starve_fraction12_leu1214primers
1_G1	20.645	yfp0_starve_fraction03_leu1214primers
1_G2	20.394	yfp0_starve_fraction03_leu1214primers
1_G3	19.988	yfp0_starve_fraction03_leu1214primers
1_G4	19.872	yfp0_starve_fraction11_leu1214primers
1_G5	19.92	yfp0_starve_fraction11_leu1214primers
1_G6	19.81	yfp0_starve_fraction11_leu1214primers
1_G7	21.738	cta1314_starve_fraction03_leu1214primers
1_G8	21.594	cta1314_starve_fraction03_leu1214primers
1_G9	21.814	cta1314_starve_fraction03_leu1214primers
1_G10	20.644	cta1314_starve_fraction11_leu1214primers
1_G11	20.83	cta1314_starve_fraction11_leu1214primers
1_G12	20.486	cta1314_starve_fraction11_leu1214primers
1_H1	22.696	yfp0_starve_fraction01_leu1214primers
1_H2	22.608	yfp0_starve_fraction01_leu1214primers
1_H3	22.13	yfp0_starve_fraction01_leu1214primers
1_H4	19.512	yfp0_starve_fraction10_leu1214primers
1_H5	19.724	yfp0_starve_fraction10_leu1214primers
1_H6	19.431	yfp0_starve_fraction10_leu1214primers
1_H7	24.736	cta1314_starve_fraction01+02_leu1214primers
1_H8	24.561	cta1314_starve_fraction01+02_leu1214primers
1_H9	24.916	cta1314_starve_fraction01+02_leu1214primers
1_H10	20.836	cta1314_starve_fraction10_leu1214primers
1_H11	20.885	cta1314_starve_fraction10_leu1214primers
1_H12	20.733	cta1314_starve_fraction10_leu1214primers
2_A1	16.426	yfp0_starve_fraction09_flucprimers
2_A2	15.965	yfp0_starve_fraction09_flucprimers
2_A3	16.124	yfp0_starve_fraction09_flucprimers
2_A7	16.318	cta1314_starve_fraction09_flucprimers
2_A8	16.408	cta1314_starve_fraction09_flucprimers
2_A9	16.267	cta1314_starve_fraction09_flucprimers
2_B1	16.181	yfp0_starve_fraction08_flucprimers
2_B2	15.646	yfp0_starve_fraction08_flucprimers
2_B3	15.9	yfp0_starve_fraction08_flucprimers
2_B4	Undetermined	yfp0_starve_fraction07_-RT_flucprimers
2_B5	Undetermined	yfp0_starve_fraction07_-RT_flucprimers
2_B6	Undetermined	yfp0_starve_fraction07_-RT_flucprimers
2_B7	16.913	cta1314_starve_fraction08_flucprimers
2_B8	16.472	cta1314_starve_fraction08_flucprimers
2_B9	16.749	cta1314_starve_fraction08_flucprimers
2_B10	Undetermined	cta1314_starve_fraction07_-RT_flucprimers
2_B11	31.112	cta1314_starve_fraction07_-RT_flucprimers
2_B12	30.659	cta1314_starve_fraction07_-RT_flucprimers
2_C1	15.168	yfp0_starve_fraction07_flucprimers
2_C2	15.776	yfp0_starve_fraction07_flucprimers
2_C3	15.525	yfp0_starve_fraction07_flucprimers
2_C4	20.986	yfp0_starve_fraction15_flucprimers
2_C5	20.842	yfp0_starve_fraction15_flucprimers
2_C6	20.963	yfp0_starve_fraction15_flucprimers
2_C7	15.923	cta1314_starve_fraction07_flucprimers
2_C8	15.406	cta1314_starve_fraction07_flucprimers
