Gradient Profiler Text Data File: 20160617_exp26_26f6.csv
Version: 2.02
Date: 2016-06-17
Time: 19:39:32

User: subramaniam_lab
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 2:30
w2t: 200000 x 10^0
Sample Volume: 400 ml
Number of Tubes: 2
Volume per mm: 0.143 ml/mm
Temperature: 25.0 deg C

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: Event with Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 5.03 mm
Number: 16
Dead Volume: 0.217300 ml; Distance due to Dead Volume: 1.52 mm
Length of Tubing: 330 mm
Total Distance: 80.48 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.000533, , 
0.03, 0.000539, , 
0.06, 0.000533, , 
0.09, 0.000533, , 
0.12, 0.000539, , 
0.15, 0.000539, , 
0.18, 0.000539, , 
0.21, 0.000539, , 
0.24, 0.000536, , 
0.27, 0.000536, , 
0.30, 0.000542, , 
0.33, 0.000542, , 
0.36, 0.000539, , 
0.39, 0.000549, , 
0.42, 0.000898, , 
0.45, 0.003622, , 
0.48, 0.011914, , 
0.51, 0.030492, , 
0.54, 0.060736, , 
0.57, 0.091932, , 
0.60, 0.125688, , 
0.63, 0.160884, , 
0.66, 0.200590, , 
0.69, 0.240556, , 
0.72, 0.278835, , 
0.75, 0.317980, , 
0.78, 0.364684, , 
0.81, 0.401773, , 
0.84, 0.446745, , 
0.87, 0.488430, , 
0.90, 0.537342, , 
0.93, 0.579509, , 
0.96, 0.617423, , 
0.99, 0.659702, , 
1.02, 0.696795, , 
1.05, 0.720781, , 
1.08, 0.738858, , 
1.11, 0.752948, , 
1.14, 0.765521, , 
1.17, 0.776188, , 
1.20, 0.784870, , 
1.23, 0.792575, , 
1.26, 0.800412, , 
1.29, 0.805824, , 
1.32, 0.811717, , 
1.35, 0.816599, , 
1.38, 0.821639, , 
1.41, 0.825429, , 
1.44, 0.828532, , 
1.47, 0.831929, , 
1.50, 0.835174, , 
1.50, 0.835614, , 
1.53, 0.837708, , 
1.56, 0.839963, , 
1.59, 0.841933, , 
1.62, 0.843839, , 
1.65, 0.845530, , 
1.68, 0.846875, , 
1.71, 0.847941, , 
1.74, 0.848867, , 
1.77, 0.849469, , 
1.80, 0.850132, , 
1.83, 0.850621, , 
1.86, 0.850976, , 
1.89, 0.851141, , 
1.92, 0.851195, , 
1.95, 0.851151, , 
1.98, 0.850929, , 
2.01, 0.850596, , 
2.04, 0.850091, , 
2.07, 0.849479, , 
2.10, 0.848746, , 
2.13, 0.848052, , 
2.16, 0.847214, , 
2.19, 0.846304, , 
2.22, 0.845197, , 
2.25, 0.844163, , 
2.28, 0.843062, , 
2.31, 0.841866, , 
2.34, 0.840385, , 
2.37, 0.839066, , 
2.40, 0.837676, , 
2.43, 0.836185, , 
2.46, 0.834431, , 
2.49, 0.832874, , 
2.52, 0.831247, , 
2.55, 0.829547, , 
2.58, 0.827466, , 
2.61, 0.825601, , 
2.64, 0.823675, , 
2.67, 0.821740, , 
2.70, 0.819438, , 
2.73, 0.817414, , 
2.76, 0.815343, , 
2.79, 0.813125, , 
2.82, 0.810448, , 
2.85, 0.808114, , 
2.88, 0.805729, , 
2.91, 0.803302, , 
2.94, 0.800466, , 
2.97, 0.797929, , 
3.00, 0.795302, , 
3.03, 0.792616, , 
3.06, 0.789418, , 
3.09, 0.786627, , 
3.12, 0.783779, , 
3.15, 0.780905, , 
3.18, 0.777606, , 
3.21, 0.774780, , 
3.24, 0.771865, , 
3.27, 0.768820, , 
3.30, 0.765169, , 
3.33, 0.762067, , 
3.36, 0.759015, , 
3.39, 0.755399, , 
3.42, 0.752193, , 
3.45, 0.748913, , 
3.48, 0.745677, , 
3.51, 0.741995, , 
3.54, 0.738775, , 
3.57, 0.735461, , 
3.60, 0.732083, , 
3.63, 0.728118, , 
3.66, 0.724774, , 
3.69, 0.721441, , 
3.72, 0.718094, , 
3.75, 0.714069, , 
3.78, 0.710558, , 
3.81, 0.707034, , 
3.84, 0.703494, , 
3.87, 0.699358, , 
3.90, 0.695843, , 
3.93, 0.692303, , 
3.96, 0.688735, , 
3.99, 0.684513, , 
4.02, 0.680824, , 
4.05, 0.677170, , 
4.08, 0.673560, , 
4.11, 0.669358, , 
4.14, 0.665735, , 
4.17, 0.662034, , 
4.20, 0.658335, , 
4.23, 0.654028, , 
4.26, 0.650370, , 
4.29, 0.646713, , 
4.32, 0.643021, , 
4.35, 0.638666, , 
4.38, 0.634983, , 
4.41, 0.631332, , 
4.44, 0.627666, , 
4.47, 0.623396, , 
4.50, 0.619739, , 
4.53, 0.616110, , 
4.56, 0.612504, , 
4.59, 0.608333, , 
4.62, 0.604713, , 
4.65, 0.601031, , 
4.68, 0.597421, , 
4.71, 0.593225, , 
4.74, 0.589615, , 
4.77, 0.586015, , 
4.80, 0.582421, , 
4.83, 0.578307, , 
4.86, 0.574932, , 
4.89, 0.571602, , 
4.92, 0.568246, , 
4.95, 0.564259, , 
4.98, 0.560795, , 
5.01, 0.557414, 1, 0.719
5.04, 0.554118, , 
5.07, 0.550286, , 
5.10, 0.546987, , 
5.13, 0.543657, , 
5.16, 0.540453, , 
5.19, 0.536809, , 
5.22, 0.533688, , 
5.25, 0.530503, , 
5.28, 0.527283, , 
5.31, 0.523598, , 
5.34, 0.520514, , 
5.37, 0.517438, , 
5.40, 0.514431, , 
5.43, 0.510976, , 
5.46, 0.508020, , 
5.49, 0.505134, , 
5.52, 0.502276, , 
5.55, 0.498926, , 
5.58, 0.496084, , 
5.61, 0.493296, , 
5.64, 0.490556, , 
5.67, 0.487365, , 
5.70, 0.484634, , 
5.73, 0.481925, , 
5.76, 0.479254, , 
5.79, 0.476203, , 
5.82, 0.473621, , 
5.85, 0.471004, , 
5.88, 0.468365, , 
5.91, 0.465329, , 
5.94, 0.462827, , 
5.97, 0.460400, , 
6.00, 0.457996, , 
6.03, 0.455230, , 
6.06, 0.452876, , 
6.09, 0.450532, , 
6.12, 0.448191, , 
6.15, 0.445425, , 
6.18, 0.443059, , 
6.21, 0.440769, , 
6.24, 0.438545, , 
6.27, 0.436005, , 
6.30, 0.433848, , 
6.33, 0.431672, , 
6.36, 0.429540, , 
6.39, 0.427133, , 
6.42, 0.425100, , 
6.45, 0.423022, , 
6.48, 0.420932, , 
6.51, 0.418534, , 
6.54, 0.416548, , 
6.54, 0.416218, , 
6.57, 0.414594, , 
6.60, 0.412634, , 
6.63, 0.410347, , 
6.66, 0.408428, , 
6.69, 0.406528, , 
6.72, 0.404650, , 
6.75, 0.402509, , 
6.78, 0.400704, , 
6.81, 0.398880, , 
6.84, 0.397098, , 
6.87, 0.395080, , 
6.90, 0.393348, , 
6.93, 0.391613, , 
6.96, 0.389875, , 
6.99, 0.387940, , 
7.02, 0.386348, , 
7.05, 0.384749, , 
7.08, 0.383071, , 
7.11, 0.381111, , 
7.14, 0.379490, , 
7.17, 0.377952, , 
7.20, 0.376458, , 
7.23, 0.374675, , 
7.26, 0.373131, , 
7.29, 0.371589, , 
7.32, 0.370105, , 
7.35, 0.368465, , 
7.38, 0.367009, , 
7.41, 0.365499, , 
7.44, 0.363945, , 
7.47, 0.362187, , 
7.50, 0.360776, , 
7.53, 0.359355, , 
7.56, 0.357864, , 
7.59, 0.356145, , 
7.62, 0.354762, , 
7.65, 0.353439, , 
7.68, 0.352136, , 
7.71, 0.350534, , 
7.74, 0.349078, , 
7.77, 0.347631, , 
7.80, 0.346258, , 
7.83, 0.344694, , 
7.86, 0.343340, , 
7.89, 0.341931, , 
7.92, 0.340491, , 
7.95, 0.338867, , 
7.98, 0.337513, , 
8.01, 0.336158, , 
8.04, 0.334788, , 
8.07, 0.333231, , 
8.10, 0.331921, , 
8.13, 0.330566, , 
8.16, 0.329129, , 
8.19, 0.327436, , 
8.22, 0.326059, , 
8.25, 0.324743, , 
8.28, 0.323414, , 
8.31, 0.321748, , 
8.34, 0.320283, , 
8.37, 0.318881, , 
8.40, 0.317536, , 
8.43, 0.316014, , 
8.46, 0.314688, , 
8.49, 0.313270, , 
8.52, 0.311820, , 
8.55, 0.310193, , 
8.58, 0.308851, , 
