Gradient Profiler Text Data File: 20160617_exp26_26f3.csv
Version: 2.02
Date: 2016-06-17
Time: 19:06:46

User: subramaniam_lab
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 2:30
w2t: 200000 x 10^0
Sample Volume: 400 ml
Number of Tubes: 2
Volume per mm: 0.143 ml/mm
Temperature: 25.0 deg C

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: Event with Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 5.03 mm
Number: 16
Dead Volume: 0.217300 ml; Distance due to Dead Volume: 1.52 mm
Length of Tubing: 330 mm
Total Distance: 80.48 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.000539, , 
0.03, 0.000539, , 
0.06, 0.000539, , 
0.09, 0.000539, , 
0.12, 0.000533, , 
0.15, 0.000536, , 
0.18, 0.000536, , 
0.21, 0.000536, , 
0.24, 0.000536, , 
0.27, 0.000536, , 
0.30, 0.000539, , 
0.33, 0.000539, , 
0.36, 0.000539, , 
0.39, 0.000733, , 
0.42, 0.002001, , 
0.45, 0.006150, , 
0.48, 0.014791, , 
0.51, 0.025150, , 
0.54, 0.037702, , 
0.57, 0.052166, , 
0.60, 0.070198, , 
0.63, 0.089855, , 
0.66, 0.110180, , 
0.69, 0.132523, , 
0.72, 0.161090, , 
0.75, 0.185406, , 
0.78, 0.216282, , 
0.81, 0.245977, , 
0.84, 0.281103, , 
0.87, 0.311186, , 
0.90, 0.341005, , 
0.93, 0.367618, , 
0.96, 0.402696, , 
0.99, 0.428459, , 
1.02, 0.452321, , 
1.05, 0.478223, , 
1.08, 0.497077, , 
1.11, 0.518383, , 
1.14, 0.536666, , 
1.17, 0.556503, , 
1.20, 0.571957, , 
1.23, 0.584575, , 
1.26, 0.597932, , 
1.29, 0.609893, , 
1.32, 0.618718, , 
1.35, 0.626946, , 
1.38, 0.635104, , 
1.41, 0.644007, , 
1.44, 0.652616, , 
1.47, 0.660343, , 
1.50, 0.667597, , 
1.50, 0.668749, , 
1.53, 0.675264, , 
1.56, 0.680542, , 
1.59, 0.686077, , 
1.62, 0.690273, , 
1.65, 0.694130, , 
1.68, 0.696478, , 
1.71, 0.697841, , 
1.74, 0.698685, , 
1.77, 0.698565, , 
1.80, 0.697730, , 
1.83, 0.696392, , 
1.86, 0.694603, , 
1.89, 0.692091, , 
1.92, 0.689119, , 
1.95, 0.685921, , 
1.98, 0.682375, , 
2.01, 0.677972, , 
2.04, 0.674055, , 
2.07, 0.670011, , 
2.10, 0.665780, , 
2.13, 0.660587, , 
2.16, 0.655928, , 
2.19, 0.651170, , 
2.22, 0.646424, , 
2.25, 0.640810, , 
2.28, 0.635929, , 
2.31, 0.631012, , 
2.34, 0.626035, , 
2.37, 0.620043, , 
2.40, 0.614854, , 
2.43, 0.609614, , 
2.46, 0.604390, , 
2.49, 0.598370, , 
2.52, 0.593187, , 
2.55, 0.587890, , 
2.58, 0.582548, , 
2.61, 0.576356, , 
2.64, 0.571120, , 
2.67, 0.565927, , 
2.70, 0.560719, , 
2.73, 0.554597, , 
2.76, 0.549344, , 
2.79, 0.544050, , 
2.82, 0.538791, , 
2.85, 0.532730, , 
2.88, 0.527616, , 
2.91, 0.522545, , 
2.94, 0.517492, , 
2.97, 0.511601, , 
3.00, 0.506558, , 
3.03, 0.501613, , 
3.06, 0.496773, , 
3.09, 0.491288, , 
3.12, 0.486629, , 
3.15, 0.481915, , 
3.18, 0.477176, , 
3.21, 0.471632, , 
3.24, 0.467010, , 
3.27, 0.462525, , 
3.30, 0.458078, , 
3.33, 0.452800, , 
3.36, 0.448296, , 
3.39, 0.443862, , 
3.42, 0.439557, , 
3.45, 0.434631, , 
3.48, 0.430409, , 
3.51, 0.426226, , 
3.54, 0.422083, , 
3.57, 0.417350, , 
3.60, 0.413338, , 
3.63, 0.409310, , 
3.66, 0.405364, , 
3.69, 0.400771, , 
3.72, 0.396879, , 
3.75, 0.392987, , 
3.78, 0.389076, , 
3.81, 0.384550, , 
3.84, 0.380819, , 
3.87, 0.377203, , 
3.90, 0.373686, , 
3.93, 0.369600, , 
3.96, 0.366083, , 
3.99, 0.362581, , 
4.02, 0.359126, , 
4.05, 0.355133, , 
4.08, 0.351758, , 
4.11, 0.348383, , 
4.14, 0.345053, , 
4.17, 0.341313, , 
4.20, 0.338189, , 
4.23, 0.335083, , 
4.26, 0.331965, , 
4.29, 0.328359, , 
4.32, 0.325333, , 
4.35, 0.322326, , 
4.38, 0.319312, , 
4.41, 0.315830, , 
4.44, 0.312905, , 
4.47, 0.310063, , 
4.50, 0.307310, , 
4.53, 0.304170, , 
4.56, 0.301489, , 
4.59, 0.298793, , 
4.62, 0.296179, , 
4.65, 0.293207, , 
4.68, 0.290724, , 
4.71, 0.288224, , 
4.74, 0.285668, , 
4.77, 0.282670, , 
4.80, 0.280142, , 
4.83, 0.277658, , 
4.86, 0.275238, , 
4.89, 0.272501, , 
4.92, 0.270239, , 
4.95, 0.268009, , 
4.98, 0.265754, , 
5.01, 0.263188, 1, 0.719
5.04, 0.261022, , 
5.07, 0.258903, , 
5.10, 0.256863, , 
5.13, 0.254430, , 
5.16, 0.252226, , 
5.19, 0.249993, , 
5.22, 0.247836, , 
5.25, 0.245514, , 
5.28, 0.243668, , 
5.31, 0.241812, , 
5.34, 0.239846, , 
5.37, 0.237461, , 
5.40, 0.235392, , 
5.43, 0.233391, , 
5.46, 0.231399, , 
5.49, 0.229049, , 
5.52, 0.226968, , 
5.55, 0.224811, , 
5.58, 0.222657, , 
5.61, 0.220174, , 
5.64, 0.218080, , 
5.67, 0.216040, , 
5.70, 0.214036, , 
5.73, 0.211603, , 
5.76, 0.209430, , 
5.79, 0.207216, , 
5.82, 0.205094, , 
5.85, 0.202794, , 
5.88, 0.200958, , 
5.91, 0.199112, , 
5.94, 0.197193, , 
5.97, 0.194972, , 
6.00, 0.193158, , 
6.03, 0.191395, , 
6.06, 0.189656, , 
6.09, 0.187604, , 
6.12, 0.185825, , 
6.15, 0.184071, , 
6.18, 0.182374, , 
6.21, 0.180505, , 
6.24, 0.178976, , 
6.27, 0.177435, , 
6.30, 0.175858, , 
6.33, 0.174038, , 
6.36, 0.172496, , 
6.39, 0.170936, , 
6.42, 0.169394, , 
6.45, 0.167713, , 
6.48, 0.166339, , 
6.51, 0.164937, , 
6.54, 0.163488, , 
6.54, 0.163240, , 
6.57, 0.161734, , 
6.60, 0.160205, , 
6.63, 0.158759, , 
6.66, 0.157391, , 
6.69, 0.155761, , 
6.72, 0.154283, , 
6.75, 0.152817, , 
6.78, 0.151431, , 
6.81, 0.149899, , 
6.84, 0.148586, , 
6.87, 0.147257, , 
6.90, 0.145988, , 
