Gradient Profiler Text Data File: 20160617_exp26_26f1.csv
Version: 2.02
Date: 2016-06-17
Time: 18:42:09

User: subramaniam_lab
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 2:30
w2t: 200000 x 10^0
Sample Volume: 400 ml
Number of Tubes: 2
Volume per mm: 0.143 ml/mm
Temperature: 25.0 deg C

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: Event with Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 5.03 mm
Number: 16
Dead Volume: 0.217300 ml; Distance due to Dead Volume: 1.52 mm
Length of Tubing: 330 mm
Total Distance: 80.48 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.000536, , 
0.03, 0.000533, , 
0.06, 0.000527, , 
0.09, 0.000530, , 
0.12, 0.000676, , 
0.15, 0.001307, , 
0.18, 0.003017, , 
0.21, 0.007099, , 
0.24, 0.012104, , 
0.27, 0.019831, , 
0.30, 0.028953, , 
0.33, 0.042168, , 
0.36, 0.055661, , 
0.39, 0.069567, , 
0.42, 0.087476, , 
0.45, 0.108068, , 
0.48, 0.126427, , 
0.51, 0.145522, , 
0.54, 0.165369, , 
0.57, 0.187988, , 
0.60, 0.210623, , 
0.63, 0.232129, , 
0.66, 0.253615, , 
0.69, 0.278283, , 
0.72, 0.297106, , 
0.75, 0.318726, , 
0.78, 0.337703, , 
0.81, 0.358498, , 
0.84, 0.374875, , 
0.87, 0.388502, , 
0.90, 0.403324, , 
0.93, 0.417937, , 
0.96, 0.429864, , 
0.99, 0.441565, , 
1.02, 0.453197, , 
1.05, 0.465872, , 
1.08, 0.478080, , 
1.11, 0.489379, , 
1.14, 0.500687, , 
1.17, 0.514025, , 
1.20, 0.524575, , 
1.23, 0.536974, , 
1.26, 0.548145, , 
1.29, 0.560770, , 
1.32, 0.571262, , 
1.35, 0.580578, , 
1.38, 0.591280, , 
1.41, 0.602277, , 
1.44, 0.611200, , 
1.47, 0.619568, , 
1.50, 0.627450, , 
1.50, 0.628811, , 
1.53, 0.635522, , 
1.56, 0.642846, , 
1.59, 0.649114, , 
1.62, 0.654878, , 
1.65, 0.660914, , 
1.68, 0.665155, , 
1.71, 0.669767, , 
1.74, 0.673605, , 
1.77, 0.677665, , 
1.80, 0.680764, , 
1.83, 0.683527, , 
1.86, 0.685988, , 
1.89, 0.688465, , 
1.92, 0.690343, , 
1.95, 0.692031, , 
1.98, 0.693769, , 
2.01, 0.694904, , 
2.04, 0.696027, , 
2.07, 0.696928, , 
2.10, 0.697870, , 
2.13, 0.698562, , 
2.16, 0.699075, , 
2.19, 0.699561, , 
2.22, 0.699910, , 
2.25, 0.700071, , 
2.28, 0.700078, , 
2.31, 0.699891, , 
2.34, 0.699500, , 
2.37, 0.699009, , 
2.40, 0.698501, , 
2.43, 0.697946, , 
2.46, 0.697137, , 
2.49, 0.696344, , 
2.52, 0.695513, , 
2.55, 0.694701, , 
2.58, 0.693715, , 
2.61, 0.692693, , 
2.64, 0.691536, , 
2.67, 0.690289, , 
2.70, 0.688709, , 
2.73, 0.687222, , 
2.76, 0.685633, , 
2.79, 0.683945, , 
2.82, 0.681814, , 
2.85, 0.679752, , 
2.88, 0.677436, , 
2.91, 0.674899, , 
2.94, 0.671679, , 
2.97, 0.668790, , 
3.00, 0.665853, , 
3.03, 0.662896, , 
3.06, 0.659391, , 
3.09, 0.656248, , 
3.12, 0.653028, , 
3.15, 0.649755, , 
3.18, 0.645784, , 
3.21, 0.642247, , 
3.24, 0.638558, , 
3.27, 0.634761, , 
3.30, 0.630276, , 
3.33, 0.626419, , 
3.36, 0.622514, , 
3.39, 0.618702, , 
3.42, 0.614331, , 
3.45, 0.610553, , 
3.48, 0.606756, , 
3.51, 0.602839, , 
3.54, 0.598078, , 
3.57, 0.593891, , 
3.60, 0.589615, , 
3.63, 0.585349, , 
3.66, 0.580353, , 
3.69, 0.575982, , 
3.72, 0.571484, , 
3.75, 0.566920, , 
3.78, 0.561616, , 
3.81, 0.557065, , 
3.84, 0.552430, , 
3.87, 0.547723, , 
3.90, 0.542169, , 
3.93, 0.537357, , 
3.96, 0.532514, , 
3.99, 0.527639, , 
4.02, 0.521945, , 
4.05, 0.517092, , 
4.08, 0.512261, , 
4.11, 0.507424, , 
4.14, 0.501727, , 
4.17, 0.496849, , 
4.20, 0.491983, , 
4.23, 0.487190, , 
4.26, 0.481639, , 
4.29, 0.476891, , 
4.32, 0.472101, , 
4.35, 0.467251, , 
4.38, 0.461542, , 
4.41, 0.456670, , 
4.44, 0.451848, , 
4.47, 0.447021, , 
4.50, 0.441387, , 
4.53, 0.436601, , 
4.56, 0.431853, , 
4.59, 0.427183, , 
4.62, 0.421744, , 
4.65, 0.417043, , 
4.68, 0.412390, , 
4.71, 0.407800, , 
4.74, 0.402461, , 
4.77, 0.397878, , 
4.80, 0.393256, , 
4.83, 0.388708, , 
4.86, 0.383519, , 
4.89, 0.379113, , 
4.92, 0.374751, , 
4.95, 0.370431, , 
4.98, 0.365477, , 
5.01, 0.361268, 1, 0.718
5.04, 0.357074, , 
5.07, 0.352906, , 
5.10, 0.348006, , 
5.13, 0.343863, , 
5.16, 0.339717, , 
5.19, 0.335534, , 
5.22, 0.330646, , 
5.25, 0.326551, , 
5.28, 0.322529, , 
5.31, 0.318599, , 
5.34, 0.314110, , 
5.37, 0.310317, , 
5.40, 0.306561, , 
5.43, 0.302853, , 
5.46, 0.298698, , 
5.49, 0.295301, , 
5.52, 0.291948, , 
5.55, 0.288614, , 
5.58, 0.284732, , 
5.61, 0.281497, , 
5.64, 0.278439, , 
5.67, 0.275530, , 
5.70, 0.272250, , 
5.73, 0.269529, , 
5.76, 0.266852, , 
5.79, 0.264279, , 
5.82, 0.261440, , 
5.85, 0.259087, , 
5.88, 0.256790, , 
5.91, 0.254554, , 
5.94, 0.252010, , 
5.97, 0.249850, , 
6.00, 0.247668, , 
6.03, 0.245549, , 
6.06, 0.243221, , 
6.09, 0.241311, , 
6.12, 0.239402, , 
6.15, 0.237502, , 
6.18, 0.235313, , 
6.21, 0.233492, , 
6.24, 0.231751, , 
6.27, 0.230054, , 
6.30, 0.228129, , 
6.33, 0.226476, , 
6.36, 0.224820, , 
6.39, 0.223222, , 
6.42, 0.221426, , 
6.45, 0.219875, , 
6.48, 0.218359, , 
6.51, 0.216919, , 
6.54, 0.215295, , 
6.54, 0.215064, , 
6.57, 0.213899, , 
6.60, 0.212463, , 
6.63, 0.211007, , 
6.66, 0.209370, , 
6.69, 0.208060, , 
6.72, 0.206775, , 
6.75, 0.205170, , 
6.78, 0.203692, , 
6.81, 0.202233, , 
6.84, 0.200860, , 
6.87, 0.199337, , 
6.90, 0.198040, , 
6.93, 0.196704, , 
6.96, 0.195353, , 
6.99, 0.193827, , 
7.02, 0.192562, , 
7.05, 0.191274, , 
7.08, 0.189954, , 
7.11, 0.188397, , 
7.14, 0.187087, , 
7.17, 0.185815, , 
7.20, 0.184546, , 
7.23, 0.183249, , 
7.26, 0.181692, , 
7.29, 0.180356, , 
7.32, 0.179103, , 
7.35, 0.177749, , 
7.38, 0.176556, , 
7.41, 0.175313, , 
7.44, 0.174044, , 
7.47, 0.172791, , 
7.50, 0.171329, , 
7.53, 0.170032, , 
7.56, 0.168741, , 
7.59, 0.167339, , 
7.62, 0.166174, , 
7.65, 0.164991, , 
7.68, 0.163764, , 
7.71, 0.162362, , 
7.74, 0.161198, , 
7.77, 0.160088, , 
7.80, 0.159012, , 
7.83, 0.157756, , 
7.86, 0.156640, , 
7.89, 0.155457, , 
7.92, 0.154292, , 
7.95, 0.153062, , 
7.98, 0.152040, , 
8.01, 0.150933, , 
8.04, 0.149766, , 
8.07, 0.148456, , 
8.10, 0.147365, , 
8.13, 0.146280, , 
8.16, 0.145170, , 
8.19, 0.143860, , 
8.22, 0.142829, , 
8.25, 0.141846, , 
8.28, 0.140843, , 
8.31, 0.139638, , 
8.34, 0.138604, , 
8.37, 0.137551, , 
8.40, 0.136552, , 
8.43, 0.135426, , 
8.46, 0.134401, , 
8.49, 0.133329, , 
8.52, 0.132320, , 
8.55, 0.131255, , 
8.58, 0.130382, , 
8.61, 0.129491, , 
8.64, 0.128568, , 
8.67, 0.127524, , 
8.70, 0.126681, , 
8.73, 0.125834, , 
8.76, 0.124968, , 
8.79, 0.123918, , 
8.82, 0.123030, , 
8.85, 0.122177, , 
8.88, 0.121339, , 
8.91, 0.120343, , 
8.94, 0.119506, , 
8.97, 0.118732, , 
9.00, 0.118005, , 
9.03, 0.117130, , 
9.06, 0.116299, , 
9.09, 0.115452, , 
9.12, 0.114681, , 
9.15, 0.113853, , 
9.18, 0.113206, , 
9.21, 0.112540, , 
9.24, 0.111795, , 
9.27, 0.110904, , 
9.30, 0.110209, , 
9.33, 0.109562, , 
9.36, 0.108972, , 
9.39, 0.108264, , 
9.42, 0.107592, , 
9.45, 0.106882, , 
9.48, 0.106241, , 
9.51, 0.105549, , 
9.54, 0.104921, , 
9.57, 0.104281, , 
9.60, 0.103700, , 
9.63, 0.103066, , 
9.66, 0.102488, , 
9.69, 0.101902, , 
9.72, 0.101312, , 
9.75, 0.100592, , 
9.78, 0.100043, , 
9.81, 0.099526, , 
9.84, 0.098939, , 
9.87, 0.098197, , 
9.90, 0.097623, , 
9.93, 0.097071, , 
9.96, 0.096500, , 
9.99, 0.095840, , 
10.02, 0.095244, , 
10.05, 0.094619, 2, 0.719
10.08, 0.094042, , 
10.11, 0.093464, , 
10.14, 0.092995, , 
10.17, 0.092481, , 
10.20, 0.091900, , 
10.23, 0.091244, , 
10.26, 0.090743, , 
10.29, 0.090273, , 
10.32, 0.089785, , 
10.35, 0.089227, , 
10.38, 0.088786, , 
10.41, 0.088373, , 
10.44, 0.087958, , 
10.47, 0.087422, , 
10.50, 0.086949, , 
10.53, 0.086524, , 
10.56, 0.086121, , 
10.59, 0.085649, , 
10.62, 0.085198, , 
10.65, 0.084770, , 
10.68, 0.084288, , 
10.71, 0.083803, , 
10.74, 0.083403, , 
10.77, 0.082959, , 
10.80, 0.082531, , 
10.83, 0.082147, , 
10.86, 0.081864, , 
10.89, 0.081554, , 
10.92, 0.081167, , 
10.95, 0.080640, , 
10.98, 0.080209, , 
11.01, 0.079888, , 
11.04, 0.079622, , 
11.07, 0.079248, , 
11.10, 0.078902, , 
11.13, 0.078601, , 
11.16, 0.078328, , 
11.19, 0.078004, , 
11.22, 0.077722, , 
11.25, 0.077427, , 
11.28, 0.077180, , 
11.31, 0.076919, , 
11.34, 0.076650, , 
11.37, 0.076377, , 
11.40, 0.076088, , 
11.43, 0.075774, , 
11.46, 0.075568, , 
11.49, 0.075372, , 
11.52, 0.075213, , 
11.55, 0.075007, , 
11.58, 0.074810, , 
11.58, 0.074782, , 
11.61, 0.074671, , 
11.64, 0.074569, , 
11.67, 0.074391, , 
11.70, 0.074204, , 
11.73, 0.074052, , 
11.76, 0.073982, , 
11.79, 0.073906, , 
11.82, 0.073789, , 
11.85, 0.073646, , 
11.88, 0.073529, , 
11.91, 0.073462, , 
11.94, 0.073472, , 
11.97, 0.073491, , 
12.00, 0.073475, , 
12.03, 0.073424, , 
12.06, 0.073424, , 
12.09, 0.073459, , 
12.12, 0.073487, , 
12.15, 0.073472, , 
12.18, 0.073427, , 
12.21, 0.073414, , 
12.24, 0.073440, , 
12.27, 0.073487, , 
12.30, 0.073475, , 
12.33, 0.073452, , 
12.36, 0.073525, , 
12.39, 0.073716, , 
12.42, 0.073855, , 
12.45, 0.073989, , 
12.48, 0.074185, , 
12.51, 0.074461, , 
12.54, 0.074731, , 
12.57, 0.075054, , 
12.60, 0.075397, , 
12.63, 0.075812, , 
12.66, 0.076187, , 
12.69, 0.076618, , 
12.72, 0.077091, , 
12.75, 0.077722, , 
12.78, 0.078267, , 
12.81, 0.078851, , 
12.84, 0.079565, , 
12.87, 0.080504, , 
12.90, 0.081405, , 
12.93, 0.082347, , 
12.96, 0.083495, , 
12.99, 0.084583, , 
13.02, 0.085785, , 
13.05, 0.087041, , 
13.08, 0.088522, , 
13.11, 0.089880, , 
13.14, 0.091396, , 
13.17, 0.093033, , 
13.20, 0.095025, , 
13.23, 0.096785, , 
13.26, 0.098644, , 
13.29, 0.100645, , 
13.32, 0.103148, , 
13.35, 0.105464, , 
13.38, 0.107884, , 
13.41, 0.110342, , 
13.44, 0.113292, , 
13.47, 0.115906, , 
13.50, 0.118599, , 
13.53, 0.121330, , 
13.56, 0.124540, , 
13.59, 0.127410, , 
13.62, 0.130487, , 
13.65, 0.133621, , 
13.68, 0.137275, , 
13.71, 0.140441, , 
13.74, 0.143571, , 
13.77, 0.146718, , 
13.80, 0.150470, , 
13.83, 0.153677, , 
13.86, 0.156801, , 
13.89, 0.159846, , 
13.92, 0.163421, , 
13.95, 0.166447, , 
13.98, 0.169346, , 
14.01, 0.172081, , 
14.04, 0.175180, , 
14.07, 0.177781, , 
14.10, 0.180302, , 
14.13, 0.182675, , 
14.16, 0.185162, , 
14.19, 0.187131, , 
14.22, 0.188997, , 
14.25, 0.190760, , 
14.28, 0.192555, , 
14.31, 0.193799, , 
14.34, 0.194814, , 
14.37, 0.195642, , 
14.40, 0.196314, , 
14.43, 0.196834, , 
14.46, 0.197053, , 
14.49, 0.197041, , 
14.52, 0.196809, , 
14.55, 0.196451, , 
14.58, 0.195915, , 
14.61, 0.195198, , 
14.64, 0.194167, , 
14.67, 0.193082, , 
14.70, 0.191807, , 
14.73, 0.190367, , 
14.76, 0.188454, , 
14.79, 0.186611, , 
14.82, 0.184619, , 
14.85, 0.182583, , 
14.88, 0.180061, , 
14.91, 0.177784, , 
14.94, 0.175424, , 
14.97, 0.172978, , 
15.00, 0.170066, , 
