Gradient Profiler Text Data File: 20160617_exp26_26f1.csv
Version: 2.02
Date: 2016-06-17
Time: 18:42:09

User: subramaniam_lab
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 2:30
w2t: 200000 x 10^0
Sample Volume: 400 ml
Number of Tubes: 2
Volume per mm: 0.143 ml/mm
Temperature: 25.0 deg C

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: Event with Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 5.03 mm
Number: 16
Dead Volume: 0.217300 ml; Distance due to Dead Volume: 1.52 mm
Length of Tubing: 330 mm
Total Distance: 80.48 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
15.03, 0.167548, , 
15.06, 0.164975, 3, 0.714
15.09, 0.162362, , 
15.12, 0.159295, , 
15.15, 0.156668, , 
15.18, 0.154010, , 
15.21, 0.151285, , 
15.24, 0.148110, , 
15.27, 0.145398, , 
15.30, 0.142769, , 
15.33, 0.140196, , 
15.36, 0.137231, , 
15.39, 0.134731, , 
15.42, 0.132254, , 
15.45, 0.129840, , 
15.48, 0.127068, , 
15.51, 0.124733, , 
15.54, 0.122411, , 
15.57, 0.120153, , 
15.60, 0.117682, , 
15.63, 0.115665, , 
15.66, 0.113698, , 
15.69, 0.111766, , 
15.72, 0.109584, , 
15.75, 0.107789, , 
15.78, 0.106041, , 
15.81, 0.104347, , 
15.84, 0.102463, , 
15.87, 0.100953, , 
15.90, 0.099554, , 
15.93, 0.098228, , 
15.96, 0.096744, , 
15.99, 0.095507, , 
16.02, 0.094365, , 
16.05, 0.093344, , 
16.08, 0.092221, , 
16.11, 0.091228, , 
16.14, 0.090229, , 
16.17, 0.089258, , 
16.20, 0.088284, , 
16.23, 0.087561, , 
16.26, 0.086921, , 
16.29, 0.086337, , 
16.32, 0.085620, , 
16.35, 0.084989, , 
16.38, 0.084440, , 
16.41, 0.083964, , 
16.44, 0.083422, , 
16.47, 0.082946, , 
16.50, 0.082473, , 
16.53, 0.082033, , 
16.56, 0.081592, , 
16.59, 0.081268, , 
16.59, 0.081217, , 
16.62, 0.080970, , 
16.65, 0.080675, , 
16.68, 0.080386, , 
16.71, 0.080199, , 
16.74, 0.080003, , 
16.77, 0.079774, , 
16.80, 0.079539, , 
16.83, 0.079397, , 
16.86, 0.079260, , 
16.89, 0.079140, , 
16.92, 0.079010, , 
16.95, 0.078921, , 
16.98, 0.078889, , 
17.01, 0.078892, , 
17.04, 0.078908, , 
17.07, 0.078896, , 
17.10, 0.078880, , 
17.13, 0.078908, , 
17.16, 0.079083, , 
17.19, 0.079244, , 
17.22, 0.079362, , 
17.25, 0.079476, , 
17.28, 0.079660, , 
17.31, 0.079895, , 
17.34, 0.080136, , 
17.37, 0.080358, , 
17.40, 0.080656, , 
17.43, 0.080919, , 
17.46, 0.081189, , 
17.49, 0.081522, , 
17.52, 0.081937, , 
17.55, 0.082302, , 
17.58, 0.082696, , 
17.61, 0.083130, , 
17.64, 0.083663, , 
17.67, 0.084104, , 
17.70, 0.084504, , 
17.73, 0.084887, , 
17.76, 0.085395, , 
17.79, 0.085871, , 
17.82, 0.086321, , 
17.85, 0.086724, , 
17.88, 0.087200, , 
17.91, 0.087631, , 
17.94, 0.088097, , 
17.97, 0.088551, , 
18.00, 0.089024, , 
18.03, 0.089430, , 
18.06, 0.089864, , 
18.09, 0.090330, , 
18.12, 0.090879, , 
18.15, 0.091291, , 
18.18, 0.091675, , 
18.21, 0.092040, , 
18.24, 0.092437, , 
18.27, 0.092779, , 
18.30, 0.093125, , 
18.33, 0.093474, , 
18.36, 0.093911, , 
18.39, 0.094264, , 
18.42, 0.094597, , 
18.45, 0.094923, , 
18.48, 0.095231, , 
18.51, 0.095475, , 
18.54, 0.095802, , 
18.57, 0.096151, , 
18.60, 0.096474, , 
18.63, 0.096728, , 
18.66, 0.097014, , 
18.69, 0.097305, , 
18.72, 0.097664, , 
18.75, 0.097981, , 
18.78, 0.098235, , 
18.81, 0.098476, , 
18.84, 0.098844, , 
18.87, 0.099171, , 
18.90, 0.099453, , 
18.93, 0.099719, , 
18.96, 0.100030, , 
18.99, 0.100306, , 
19.02, 0.100626, , 
19.05, 0.100988, , 
19.08, 0.101404, , 
19.11, 0.101772, , 
19.14, 0.102203, , 
19.17, 0.102736, , 
19.20, 0.103183, , 
19.23, 0.103589, , 
19.26, 0.103982, , 
19.29, 0.104550, , 
19.32, 0.105143, , 
19.35, 0.105768, , 
19.38, 0.106428, , 
19.41, 0.107253, , 
19.44, 0.108046, , 
19.47, 0.108912, , 
19.50, 0.109812, , 
19.53, 0.110900, , 
19.56, 0.111868, , 
19.59, 0.112915, , 
19.62, 0.114114, , 
19.65, 0.115693, , 
19.68, 0.117108, , 
19.71, 0.118589, , 
19.74, 0.120181, , 
19.77, 0.122275, , 
19.80, 0.124172, , 
19.83, 0.126100, , 
19.86, 0.128092, , 
19.89, 0.130595, , 
19.92, 0.132933, , 
19.95, 0.135365, , 
19.98, 0.137827, , 
20.01, 0.140802, , 
20.04, 0.143406, , 
20.07, 0.146090, , 
20.10, 0.148875, 4, 0.719
20.13, 0.152240, , 
20.16, 0.155142, , 
20.19, 0.157988, , 
20.22, 0.160849, , 
20.25, 0.164205, , 
20.28, 0.167047, , 
20.31, 0.169902, , 
20.34, 0.172763, , 
20.37, 0.175582, , 
20.40, 0.178770, , 
20.43, 0.181343, , 
20.46, 0.183779, , 
20.49, 0.186510, , 
20.52, 0.188714, , 
20.55, 0.190833, , 
20.58, 0.192869, , 
20.61, 0.194995, , 
20.64, 0.196577, , 
20.67, 0.198043, , 
20.70, 0.199410, , 
20.73, 0.200749, , 
20.76, 0.201659, , 
20.79, 0.202398, , 
20.82, 0.202963, , 
20.85, 0.203492, , 
20.88, 0.203733, , 
20.91, 0.203765, , 
20.94, 0.203648, , 
20.97, 0.203353, , 
21.00, 0.202982, , 
21.03, 0.202446, , 
21.06, 0.201760, , 
21.09, 0.200768, , 
21.12, 0.199756, , 
21.15, 0.198649, , 
21.18, 0.197481, , 
21.21, 0.196038, , 
21.24, 0.194703, , 
21.27, 0.193295, , 
21.30, 0.191874, , 
21.33, 0.190186, , 
21.36, 0.188641, , 
21.39, 0.186976, , 
21.42, 0.185266, , 
21.45, 0.183284, , 
21.48, 0.181552, , 
21.51, 0.179741, , 
21.54, 0.177863, , 
21.57, 0.175678, , 
21.60, 0.173908, , 
21.63, 0.172160, , 
21.63, 0.171865, , 
21.66, 0.170365, , 
21.69, 0.168138, , 
21.72, 0.166247, , 
21.75, 0.164503, , 
21.78, 0.162898, , 
21.81, 0.161030, , 
21.84, 0.159355, , 
21.87, 0.157620, , 
21.90, 0.155916, , 
21.93, 0.154070, , 
21.96, 0.152586, , 
21.99, 0.151086, , 
22.02, 0.149579, , 
22.05, 0.147891, , 
22.08, 0.146543, , 
22.11, 0.145233, , 
22.14, 0.143955, , 
22.17, 0.142518, , 
22.20, 0.141345, , 
22.23, 0.140269, , 
22.26, 0.139207, , 
22.29, 0.137966, , 
22.32, 0.136926, , 
22.35, 0.135949, , 
22.38, 0.135058, , 
22.41, 0.134075, , 
22.44, 0.133218, , 
22.47, 0.132368, , 
22.50, 0.131594, , 
22.53, 0.130773, , 
22.56, 0.130173, , 
22.59, 0.129602, , 
22.62, 0.128993, , 
22.65, 0.128251, , 
22.68, 0.127705, , 
22.71, 0.127242, , 
22.74, 0.126779, , 
22.77, 0.126218, , 
22.80, 0.125739, , 
22.83, 0.125310, , 
22.86, 0.124958, , 
22.89, 0.124613, , 
22.92, 0.124289, , 
22.95, 0.123931, , 
22.98, 0.123639, , 
23.01, 0.123360, , 
23.04, 0.123077, , 
23.07, 0.122770, , 
23.10, 0.122465, , 
23.13, 0.122161, , 
23.16, 0.121961, , 
23.19, 0.121761, , 
23.22, 0.121536, , 
23.25, 0.121196, , 
23.28, 0.120895, , 
23.31, 0.120648, , 
23.34, 0.120432, , 
23.37, 0.120162, , 
23.40, 0.119890, , 
23.43, 0.119639, , 
23.46, 0.119449, , 
23.49, 0.119236, , 
23.52, 0.119024, , 
23.55, 0.118773, , 
23.58, 0.118535, , 
23.61, 0.118247, , 
23.64, 0.117983, , 
23.67, 0.117726, , 
23.70, 0.117425, , 
23.73, 0.117035, , 
23.76, 0.116772, , 
23.79, 0.116540, , 
23.82, 0.116321, , 
23.85, 0.116017, , 
23.88, 0.115696, , 
23.91, 0.115366, , 
23.94, 0.115052, , 
23.97, 0.114729, , 
24.00, 0.114405, , 
24.03, 0.114063, , 
24.06, 0.113774, , 
24.09, 0.113489, , 
24.12, 0.113203, , 
24.15, 0.112902, , 
24.18, 0.112597, , 
24.21, 0.112302, , 
24.24, 0.112112, , 
24.27, 0.111861, , 
24.30, 0.111563, , 
24.33, 0.111211, , 
24.36, 0.110935, , 
24.39, 0.110770, , 
24.42, 0.110659, , 
24.45, 0.110472, , 
24.48, 0.110266, , 
24.51, 0.110114, , 
24.54, 0.110057, , 
24.57, 0.109984, , 
24.60, 0.109876, , 
24.63, 0.109844, , 
24.66, 0.109857, , 
24.69, 0.109958, , 
24.72, 0.110152, , 
24.75, 0.110323, , 
24.78, 0.110498, , 
24.81, 0.110827, , 
24.84, 0.111284, , 
24.87, 0.111865, , 
24.90, 0.112474, , 
24.93, 0.113324, , 
24.96, 0.114196, , 
24.99, 0.115227, , 
25.02, 0.116492, , 
25.05, 0.118243, , 
25.08, 0.119953, , 
25.11, 0.121863, , 
25.14, 0.124039, 5, 0.718
25.17, 0.126969, , 
25.20, 0.129881, , 
25.23, 0.133158, , 
25.26, 0.136802, , 
25.29, 0.141602, , 
25.32, 0.146134, , 
25.35, 0.151086, , 
25.38, 0.157315, , 
25.41, 0.163206, , 
25.44, 0.169648, , 
25.47, 0.176651, , 
25.50, 0.185387, , 
25.53, 0.193295, , 
25.56, 0.201665, , 
25.59, 0.210496, , 
25.62, 0.221471, , 
25.65, 0.231393, , 
25.68, 0.241752, , 
25.71, 0.252442, , 
25.74, 0.263293, , 
25.77, 0.276348, , 
25.80, 0.287758, , 
25.83, 0.299310, , 
25.86, 0.312896, , 
25.89, 0.324641, , 
25.92, 0.336260, , 
25.95, 0.347771, , 
25.98, 0.360941, , 
26.01, 0.371960, , 
26.04, 0.382780, , 
26.07, 0.393301, , 
26.10, 0.405215, , 
26.13, 0.414918, , 
26.16, 0.423999, , 
26.19, 0.432506, , 
26.22, 0.441860, , 
26.25, 0.449305, , 
26.28, 0.456223, , 
26.31, 0.462493, , 
26.34, 0.468983, , 
26.37, 0.473849, , 
26.40, 0.478166, , 
26.43, 0.481979, , 
26.46, 0.485753, , 
26.49, 0.488405, , 
26.52, 0.490486, , 
26.55, 0.491992, , 
26.58, 0.493014, , 
26.61, 0.493315, , 
26.64, 0.493115, , 
26.67, 0.492516, , 
26.67, 0.492383, , 
26.70, 0.491364, , 
26.73, 0.489924, , 
26.76, 0.488056, , 
26.79, 0.485794, , 
26.82, 0.482791, , 
26.85, 0.480009, , 
26.88, 0.477008, , 
26.91, 0.473713, , 
26.94, 0.469519, , 
26.97, 0.465703, , 
27.00, 0.461713, , 
27.03, 0.457523, , 
27.06, 0.452381, , 
27.09, 0.447776, , 
27.12, 0.443094, , 
27.15, 0.438371, , 
27.18, 0.432734, , 
27.21, 0.427780, , 
27.24, 0.422755, , 
27.27, 0.417718, , 
27.30, 0.411806, , 
27.33, 0.406712, , 
27.36, 0.401656, , 
27.39, 0.396571, , 
27.42, 0.390608, , 
27.45, 0.385542, , 
27.48, 0.380562, , 
27.51, 0.375674, , 
27.54, 0.369997, , 
27.57, 0.365156, , 
27.60, 0.360395, , 
27.63, 0.355771, , 
27.66, 0.350489, , 
27.69, 0.346096, , 
27.72, 0.341805, , 
27.75, 0.337545, , 
27.78, 0.332634, , 
27.81, 0.328498, , 
27.84, 0.324448, , 
27.87, 0.320432, , 
27.90, 0.315855, , 
27.93, 0.312074, , 
27.96, 0.308331, , 
27.99, 0.304617, , 
28.02, 0.300328, , 
28.05, 0.296747, , 
28.08, 0.293268, , 
28.11, 0.289864, , 
28.14, 0.285925, , 
28.17, 0.282578, , 
28.20, 0.279279, , 
28.23, 0.276015, , 
28.26, 0.272279, , 
28.29, 0.269088, , 
28.32, 0.265964, , 
28.35, 0.262950, , 
28.38, 0.259566, , 
28.41, 0.256692, , 
28.44, 0.253799, , 
28.47, 0.250396, , 
28.50, 0.247528, , 
28.53, 0.244766, , 
28.56, 0.242088, , 
28.59, 0.238993, , 
28.62, 0.236312, , 
28.65, 0.233689, , 
28.68, 0.231190, , 
28.71, 0.228338, , 
28.74, 0.225858, , 
28.77, 0.223349, , 
28.80, 0.220884, , 
28.83, 0.218058, , 
28.86, 0.215749, , 
28.89, 0.213500, , 
28.92, 0.211203, , 
28.95, 0.208447, , 
28.98, 0.206141, , 
29.01, 0.203921, , 
29.04, 0.201811, , 
29.07, 0.199366, , 
29.10, 0.197247, , 
29.13, 0.195214, , 
29.16, 0.193228, , 
29.19, 0.190931, , 
29.22, 0.188965, , 
29.25, 0.186973, , 
29.28, 0.185047, , 
29.31, 0.182887, , 
29.34, 0.181010, , 
29.37, 0.179100, , 
29.40, 0.177216, , 
29.43, 0.175094, , 
29.46, 0.173362, , 
29.49, 0.171649, , 
29.52, 0.169962, , 
29.55, 0.168036, , 
29.58, 0.166390, , 
29.61, 0.164795, , 
29.64, 0.163253, , 
29.67, 0.161442, , 
29.70, 0.159897, , 
29.73, 0.158406, , 
29.76, 0.156938, , 
29.79, 0.155263, , 
29.82, 0.153848, , 
29.85, 0.152453, , 
29.88, 0.151089, , 
29.91, 0.149550, , 
