Gradient Profiler Text Data File: 20160617_exp26_26f4.csv
Version: 2.02
Date: 2016-06-17
Time: 19:17:58

User: subramaniam_lab
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 2:30
w2t: 200000 x 10^0
Sample Volume: 400 ml
Number of Tubes: 2
Volume per mm: 0.143 ml/mm
Temperature: 25.0 deg C

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: Event with Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 5.03 mm
Number: 16
Dead Volume: 0.217300 ml; Distance due to Dead Volume: 1.52 mm
Length of Tubing: 330 mm
Total Distance: 80.48 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.000539, , 
0.03, 0.000539, , 
0.06, 0.000542, , 
0.09, 0.000539, , 
0.12, 0.000558, , 
0.15, 0.001269, , 
0.18, 0.003721, , 
0.21, 0.008710, , 
0.24, 0.015615, , 
0.27, 0.028281, , 
0.30, 0.041143, , 
0.33, 0.056318, , 
0.36, 0.073795, , 
0.39, 0.095637, , 
0.42, 0.119572, , 
0.45, 0.144323, , 
0.48, 0.171227, , 
0.51, 0.205262, , 
0.54, 0.233518, , 
0.57, 0.268704, , 
0.60, 0.307973, , 
0.63, 0.342382, , 
0.66, 0.377086, , 
0.69, 0.411584, , 
0.72, 0.448347, , 
0.75, 0.483206, , 
0.78, 0.514434, , 
0.81, 0.544536, , 
0.84, 0.578155, , 
0.87, 0.603112, , 
0.90, 0.631491, , 
0.93, 0.655756, , 
0.96, 0.681782, , 
0.99, 0.702152, , 
1.02, 0.719258, , 
1.05, 0.738252, , 
1.08, 0.756859, , 
1.11, 0.771789, , 
1.14, 0.786031, , 
1.17, 0.799692, , 
1.20, 0.813858, , 
1.23, 0.827098, , 
1.26, 0.838815, , 
1.29, 0.849853, , 
1.32, 0.861710, , 
1.35, 0.870078, , 
1.38, 0.879238, , 
1.41, 0.886921, , 
1.44, 0.895275, , 
1.47, 0.902019, , 
1.50, 0.907789, , 
1.50, 0.908915, , 
1.53, 0.914206, , 
1.56, 0.920308, , 
1.59, 0.925028, , 
1.62, 0.929418, , 
1.65, 0.933538, , 
1.68, 0.937722, , 
1.71, 0.941468, , 
1.74, 0.944675, , 
1.77, 0.947717, , 
1.80, 0.951051, , 
1.83, 0.953417, , 
1.86, 0.956002, , 
1.89, 0.958137, , 
1.92, 0.960452, , 
1.95, 0.962314, , 
1.98, 0.963849, , 
2.01, 0.965461, , 
2.04, 0.966999, , 
2.07, 0.968236, , 
2.10, 0.969365, , 
2.13, 0.970365, , 
2.16, 0.971351, , 
2.19, 0.972208, , 
2.22, 0.972893, , 
2.25, 0.973454, , 
2.28, 0.973924, , 
2.31, 0.974127, , 
2.34, 0.974247, , 
2.37, 0.974301, , 
2.40, 0.974349, , 
2.43, 0.974304, , 
2.46, 0.974146, , 
2.49, 0.973806, , 
2.52, 0.973267, , 
2.55, 0.972671, , 
2.58, 0.972005, , 
2.61, 0.971272, , 
2.64, 0.970314, , 
2.67, 0.969413, , 
2.70, 0.968420, , 
2.73, 0.967354, , 
2.76, 0.965949, , 
2.79, 0.964579, , 
2.82, 0.963129, , 
2.85, 0.961585, , 
2.88, 0.959647, , 
2.91, 0.957867, , 
2.94, 0.955916, , 
2.97, 0.953871, , 
3.00, 0.951415, , 
3.03, 0.949319, , 
3.06, 0.947171, , 
3.09, 0.944894, , 
3.12, 0.942042, , 
3.15, 0.939457, , 
3.18, 0.936802, , 
3.21, 0.934090, , 
3.24, 0.930836, , 
3.27, 0.927946, , 
3.30, 0.924955, , 
3.33, 0.921885, , 
3.36, 0.918148, , 
3.39, 0.914872, , 
3.42, 0.911566, , 
3.45, 0.908264, , 
3.48, 0.904350, , 
3.51, 0.900861, , 
3.54, 0.897217, , 
3.57, 0.893455, , 
3.60, 0.889033, , 
3.63, 0.885246, , 
3.66, 0.881395, , 
3.69, 0.877487, , 
3.72, 0.872885, , 
3.75, 0.868790, , 
3.78, 0.864635, , 
3.81, 0.860457, , 
3.84, 0.855591, , 
3.87, 0.851389, , 
3.90, 0.847125, , 
3.93, 0.842802, , 
3.96, 0.837603, , 
3.99, 0.833083, , 
4.02, 0.828522, , 
4.05, 0.823939, , 
4.08, 0.818613, , 
4.11, 0.814020, , 
4.14, 0.809300, , 
4.17, 0.804479, , 
4.20, 0.798820, , 
4.23, 0.793996, , 
4.26, 0.789228, , 
4.29, 0.784407, , 
4.32, 0.778628, , 
4.35, 0.773610, , 
4.38, 0.768569, , 
4.41, 0.763548, , 
4.44, 0.757632, , 
4.47, 0.752503, , 
4.50, 0.747314, , 
4.53, 0.742112, , 
4.56, 0.736066, , 
4.59, 0.730909, , 
4.62, 0.725716, , 
4.65, 0.720429, , 
4.68, 0.714186, , 
4.71, 0.708880, , 
4.74, 0.703646, , 
4.77, 0.698368, , 
4.80, 0.692116, , 
4.83, 0.686721, , 
4.86, 0.681300, , 
4.89, 0.676000, , 
4.92, 0.669798, , 
4.95, 0.664514, , 
4.98, 0.659245, , 
5.01, 0.653948, 1, 0.718
5.04, 0.647712, , 
5.07, 0.642364, , 
5.10, 0.636994, , 
5.13, 0.631713, , 
5.16, 0.625655, , 
5.19, 0.620456, , 
5.22, 0.615314, , 
5.25, 0.610023, , 
5.28, 0.603829, , 
5.31, 0.598627, , 
5.34, 0.593513, , 
5.37, 0.587607, , 
5.40, 0.582583, , 
5.43, 0.577482, , 
5.46, 0.572360, , 
5.49, 0.566425, , 
5.52, 0.561413, , 
5.55, 0.556484, , 
5.58, 0.551568, , 
5.61, 0.546620, , 
5.64, 0.540786, , 
5.67, 0.535803, , 
5.70, 0.530953, , 
5.73, 0.526224, , 
5.76, 0.520816, , 
5.79, 0.516232, , 
5.82, 0.511690, , 
5.85, 0.506374, , 
5.88, 0.501892, , 
5.91, 0.497527, , 
5.94, 0.493245, , 
5.97, 0.488998, , 
6.00, 0.484107, , 
6.03, 0.479993, , 
6.06, 0.475955, , 
6.09, 0.472035, , 
6.12, 0.467619, , 
6.15, 0.463870, , 
6.18, 0.460124, , 
6.21, 0.456372, , 
6.24, 0.452093, , 
6.27, 0.448518, , 
6.30, 0.445010, , 
6.33, 0.441000, , 
6.36, 0.437597, , 
6.39, 0.434136, , 
6.42, 0.430679, , 
6.45, 0.427285, , 
6.48, 0.423342, , 
6.51, 0.420015, , 
6.54, 0.416684, , 
6.54, 0.416123, , 
6.57, 0.413357, , 
6.60, 0.409541, , 
6.63, 0.406325, , 
6.66, 0.403156, , 
6.69, 0.399531, , 
6.72, 0.396476, , 
6.75, 0.393453, , 
6.78, 0.390414, , 
6.81, 0.386833, , 
6.84, 0.383810, , 
6.87, 0.380829, , 
6.90, 0.377971, , 
