index	5primepreterm	bkgdpreterm	initiationrate	mutant	proteins_mutant	proteins_yfp0	selpreterm	simulation_time	stallstrengthindex	ps_ratio	stallstrength
0	1.0	0	0.3	ctt14	1363	10000	0.0	34885.17	0.0	0.1363	0.05
1	0.0	0	0.3	cta11	5570	10000	0.0	34857.06	17.0	0.557	0.18
2	0.0	0	0.3	ctc12	7984	10000	1.0	35491.11	7.0	0.7984	4.0
3	0.0	0	0.3	ctc14	6181	10000	0.0	34739.25	9.0	0.6181	0.2
4	0.0	0	0.3	ctc8	6112	10000	1.0	34823.22	2.0	0.6112	1.5
5	0.0	0	0.3	ctc10	7297	10000	0.0	34354.71	12.0	0.7297	0.26
6	1.0	0	0.3	cta9	5485	10000	0.0	34635.42	15.0	0.5485	0.32
7	0.0	0	0.3	ctc12	8356	10000	1.0	35092.84	9.0	0.8356	5.0
8	0.0	0	0.3	ctc11	8463	10000	0.0	34737.72	14.0	0.8463	0.3
9	0.0	0	0.3	ctc13	8425	10000	1.0	34861.23	10.0	0.8425	5.5
10	0.0	0	0.3	ctc11	3860	10000	0.0	34894.01	5.0	0.386	0.12
11	0.0	0	0.3	ctc2	5583	10000	0.0	35152.49	10.0	0.5583	0.22
12	1.0	0	0.3	ctc18	7820	10000	0.0	34912.37	13.0	0.782	0.7
13	1.0	0	0.3	ctc10	6314	10000	0.0	35037.54	7.0	0.6314	0.4
14	1.0	0	0.3	cta12	5373	10000	0.0	34665.57	14.0	0.5373	0.3
15	1.0	0	0.3	ctc2	7641	10000	0.0	34889.99	13.0	0.7641	0.7
16	1.0	0	0.3	ctc2	8297	10000	0.0	35301.74	16.0	0.8297	0.85
17	0.0	0	0.3	cta12	3602	10000	0.0	34906.13	10.0	0.3602	0.11
18	1.0	0	0.3	ctc9	6792	10000	0.0	34365.91	9.0	0.6792	0.5
19	1.0	0	0.3	ctc10	4922	10000	0.0	35151.78	4.0	0.4922	0.25
20	0.0	0	0.3	cta13	3356	10000	0.0	34633.39	9.0	0.3356	0.1
21	0.0	0	0.3	cta10	1966	10000	1.0	34784.17	4.0	0.1966	0.25
22	1.0	0	0.3	ctc2	1350	10000	0.0	34722.79	0.0	0.135	0.05
23	0.0	0	0.3	ctt14	646	10000	0.0	34565.95	0.0	0.0646	0.02
24	1.0	0	0.3	ctc13	7066	10000	0.0	35728.14	9.0	0.7066	0.5
25	0.0	0	0.3	ctt18	1981	10000	1.0	34819.42	0.0	0.1981	0.25
26	1.0	0	0.3	ctt2	2449	10000	0.0	34699.11	1.0	0.2449	0.1
27	0.0	0	0.3	cta14	6181	10000	0.0	34739.25	19.0	0.6181	0.2
28	1.0	0	0.3	ctc8	8326	10000	0.0	35176.4	16.0	0.8326	0.85
29	0.0	0	0.3	cta8	5823	10000	0.0	34457.07	18.0	0.5823	0.19
30	1.0	0	0.3	ctt2	8204	10000	0.0	34622.04	18.0	0.8204	0.95
31	1.0	0	0.3	ctc12	3356	10000	0.0	34757.84	2.0	0.3356	0.15
32	1.0	0	0.3	cta12	4705	10000	0.0	34595.55	11.0	0.4705	0.24
33	1.0	0	0.3	ctc14	2504	10000	0.0	35158.25	1.0	0.2504	0.1
34	0.0	0	0.3	cta8	646	10000	0.0	34428.28	1.0	0.0646	0.02
35	1.0	0	0.3	ctc8	4201	10000	0.0	34776.93	3.0	0.4201	0.2
36	0.0	0	0.3	cta11	5307	10000	0.0	34517.3	16.0	0.5307	0.17
37	0.0	0	0.3	cta14	3894	10000	1.0	35274.0	12.0	0.3894	0.65
38	0.0	0	0.3	cta13	6185	10000	0.0	35154.64	19.0	0.6185	0.2
39	1.0	0	0.3	cta2	2892	10000	0.0	34593.58	5.0	0.2892	0.12
40	1.0	0	0.3	cta10	1624	10000	0.0	35149.42	2.0	0.1624	0.06
41	0.0	0	0.3	ctc2	6636	10000	0.0	34641.76	15.0	0.6636	0.32
42	1.0	0	0.3	cta11	5414	10000	0.0	34689.38	14.0	0.5414	0.3
43	0.0	0	0.3	ctt14	6765	10000	0.0	34907.3	10.0	0.6765	0.22
44	0.0	0	0.3	ctt10	7879	10000	1.0	34925.19	13.0	0.7879	3.5
45	0.0	0	0.3	ctc2	8975	10000	1.0	34693.93	19.0	0.8975	10.0
46	0.0	0	0.3	cta12	5693	10000	0.0	34771.7	17.0	0.5693	0.18
47	0.0	0	0.3	ctc6	6436	10000	0.0	35027.46	10.0	0.6436	0.22
48	1.0	0	0.3	ctt10	7839	10000	0.0	34032.0	15.0	0.7839	0.8
49	1.0	0	0.3	ctc2	7797	10000	0.0	34910.88	14.0	0.7797	0.75
50	1.0	0	0.3	cta8	6245	10000	0.0	35134.99	19.0	0.6245	0.4
51	0.0	0	0.3	ctc9	5560	10000	0.0	34817.93	8.0	0.556	0.18
52	0.0	0	0.3	ctc6	4414	10000	0.0	34739.77	6.0	0.4414	0.14
53	1.0	0	0.3	cta10	1126	10000	0.0	34896.32	1.0	0.1126	0.04
54	1.0	0	0.3	cta8	1575	10000	0.0	34463.27	2.0	0.1575	0.06
55	1.0	0	0.3	ctc8	7403	10000	0.0	35482.77	10.0	0.7403	0.55
56	1.0	0	0.3	cta9	2447	10000	0.0	34558.53	4.0	0.2447	0.1
57	1.0	0	0.3	cta14	2504	10000	0.0	35158.25	4.0	0.2504	0.1
58	0.0	0	0.3	ctc10	3863	10000	0.0	34363.42	5.0	0.3863	0.12
59	1.0	0	0.3	cta2	4434	10000	0.0	34664.75	10.0	0.4434	0.22
60	0.0	0	0.3	cta13	1611	10000	1.0	35008.49	3.0	0.1611	0.2
61	0.0	0	0.3	ctc11	3474	10000	1.0	35122.18	0.0	0.3474	0.5
62	0.0	0	0.3	cta13	4253	10000	1.0	35069.46	14.0	0.4253	0.75
