index	5primepreterm	bkgdpreterm	initiationrate	mutant	proteins_mutant	proteins_yfp0	selpreterm	simulation_time	stallstrengthindex	ps_ratio	stallstrength
0	0.0	0	0.3	tcg4	2728	10000	0.0	34969.76	3.0	0.2728	0.08
1	0.0	0	0.3	tcg7	3714	10000	0.0	34687.92	5.0	0.3714	0.12
2	1.0	0	0.3	tcg7	5293	10000	0.0	34989.73	5.0	0.5293	0.3
3	0.0	0	0.3	tcg4	7522	10000	0.0	34454.7	12.0	0.7522	0.26
4	1.0	0	0.3	tcg5	6605	10000	0.0	34755.76	8.0	0.6605	0.45
5	0.0	0	0.3	tcg7	8659	10000	0.0	35015.32	14.0	0.8659	0.3
6	0.0	0	0.3	tcg5	3286	10000	0.0	34383.54	4.0	0.3286	0.1
7	1.0	0	0.3	tcg6	8001	10000	0.0	34725.43	14.0	0.8001	0.75
8	0.0	0	0.3	tcg6	6674	10000	1.0	35032.26	3.0	0.6674	2.0
9	0.0	0	0.3	tcg2	2589	10000	0.0	34270.54	3.0	0.2589	0.08
10	0.0	0	0.3	tcg7	680	10000	0.0	34571.58	0.0	0.068	0.02
11	0.0	0	0.3	tcg3	8742	10000	1.0	34881.33	13.0	0.8742	7.0
12	1.0	0	0.3	tcg4	1362	10000	0.0	34643.26	0.0	0.1362	0.05
13	0.0	0	0.3	tcg6	7539	10000	1.0	34668.78	6.0	0.7539	3.5
14	1.0	0	0.3	tcg7	1327	10000	0.0	34838.5	0.0	0.1327	0.05
15	0.0	0	0.3	tcg3	675	10000	0.0	34262.26	0.0	0.0675	0.02
16	0.0	0	0.3	tcg2	7996	10000	1.0	34980.89	7.0	0.7996	4.0
17	0.0	0	0.3	tcg5	8814	10000	1.0	33746.58	18.0	0.8814	9.5
18	1.0	0	0.3	tcg4	8204	10000	0.0	34828.67	15.0	0.8204	0.8
19	0.0	0	0.3	tcg5	2048	10000	0.0	34854.5	2.0	0.2048	0.06
20	0.0	0	0.3	tcg6	9325	10000	0.0	34468.94	16.0	0.9325	0.34
21	1.0	0	0.3	tcg7	2474	10000	0.0	34716.66	1.0	0.2474	0.1
22	0.0	0	0.3	tcg6	7052	10000	1.0	34726.69	4.0	0.7052	2.5
23	0.0	0	0.3	tcg6	3819	10000	0.0	34998.82	5.0	0.3819	0.12
24	0.0	0	0.3	tcg2	8500	10000	1.0	34759.09	10.0	0.85	5.5
25	0.0	0	0.3	tcg4	8757	10000	1.0	34591.18	14.0	0.8757	7.5
26	0.0	0	0.3	tcg7	7091	10000	1.0	34816.61	4.0	0.7091	2.5
27	1.0	0	0.3	tcg6	3349	10000	0.0	34241.01	2.0	0.3349	0.15
28	0.0	0	0.3	tcg2	7724	10000	0.0	35136.14	16.0	0.7724	0.34
29	0.0	0	0.3	tcg2	7777	10000	1.0	34883.38	6.0	0.7777	3.5
30	0.0	0	0.3	tcg6	8116	10000	1.0	34752.9	8.0	0.8116	4.5
31	0.0	0	0.3	tcg3	8280	10000	1.0	34756.23	9.0	0.828	5.0
32	0.0	0	0.3	tcg7	8933	10000	1.0	35147.96	14.0	0.8933	7.5
